Date,Firm,To Grade,From Grade,Action
2012-07-24,Credit Suisse,Neutral,,init
2012-07-24,Deutsche Bank,Buy,,init
2012-07-24,Morgan Stanley,Equal-Weight,,init
2012-07-24,Barclays,Overweight,,init
2012-07-24,Pacific Crest,Outperform,,init
2012-07-24,Citigroup,Buy,,init
2012-07-24,UBS,Neutral,,init
2012-08-02,Citigroup,Buy,,main
2012-08-02,Barclays,Overweight,,main
2012-08-02,UBS,Neutral,,main
2012-08-02,Deutsche Bank,Buy,,main
2012-08-14,JG Capital,Overweight,,main
2012-10-01,UBS,Sell,Neutral,down
2012-10-25,Barclays,Overweight,,main
2012-10-25,UBS,Sell,,main
2013-01-07,Barclays,Overweight,,main
2013-01-31,JG Capital,Overweight,Neutral,up
2013-02-14,UBS,Buy,Sell,up
2013-03-11,Citigroup,Buy,,main
2013-03-20,FBN Securities,Outperform,,init
2013-04-02,Maxim Group,Buy,,init
2013-04-25,Mizuho,Buy,Neutral,up
2013-07-12,Raymond James,Strong Buy,,init
2013-07-16,Susquehanna,Positive,,init
2013-08-01,JG Capital,Neutral,Overweight,down
2013-08-28,Stephens & Co.,Overweight,,init
2013-09-04,JMP Securities,Market Outperform,,init
2013-09-05,Canaccord Genuity,Buy,,init
2013-09-18,Morgan Stanley,Overweight,Equal-Weight,up
2013-10-04,Northland Securities,Outperform,Market Perform,up
2013-10-08,Janney Capital,Neutral,,init
2013-10-24,Deutsche Bank,Buy,,main
2014-01-13,RBC Capital,Outperform,,init
2014-01-30,Baird,Outperform,Neutral,up
2014-01-30,Morgan Stanley,Overweight,,main
2014-02-04,Morgan Stanley,Overweight,,main
2014-03-07,B. Riley FBR,Neutral,,init
2014-04-04,Evercore Partners,Overweight,Equal-Weight,up
2014-04-24,UBS,Buy,,main
2014-04-24,B. Riley FBR,Neutral,,main
2014-05-23,Barclays,Overweight,,main
2014-07-31,Barclays,Overweight,,main
2014-07-31,Credit Suisse,Neutral,,main
2014-07-31,UBS,Buy,,main
2014-08-26,DA Davidson,Buy,,init
2014-08-27,DA Davidson,Buy,,init
2014-09-04,Barclays,Overweight,,main
2014-09-15,William Blair,Outperform,,init
2014-10-23,Citigroup,Buy,,main
2014-10-23,Credit Suisse,Neutral,,main
