,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,11000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2859000000.0,761000000.0,786000000.0,467000000.0
Minority Interest,,,20000000.0,19000000.0
Net Income,2187000000.0,510000000.0,4438000000.0,268000000.0
Selling General Administrative,1293000000.0,810000000.0,760000000.0,799000000.0
Gross Profit,6507000000.0,2553000000.0,2518000000.0,2370000000.0
Ebit,3731000000.0,1200000000.0,1290000000.0,1139000000.0
Operating Income,3731000000.0,1200000000.0,1290000000.0,1139000000.0
Other Operating Expenses,,,,
Interest Expense,-485000000.0,-401000000.0,-413000000.0,-483000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,672000000.0,251000000.0,-3334000000.0,7000000.0
Total Revenue,26989000000.0,9093000000.0,9821000000.0,9478000000.0
Total Operating Expenses,23258000000.0,7893000000.0,8531000000.0,8339000000.0
Cost Of Revenue,20482000000.0,6540000000.0,7303000000.0,7108000000.0
Total Other Income Expense Net,-872000000.0,-439000000.0,-504000000.0,-672000000.0
Discontinued Operations,,,321000000.0,-192000000.0
Net Income From Continuing Ops,2187000000.0,510000000.0,4120000000.0,460000000.0
Net Income Applicable To Common Shares,2187000000.0,510000000.0,4438000000.0,268000000.0
