Date,Firm,To Grade,From Grade,Action
2012-02-29,Jefferies,Buy,,main
2012-02-29,Wunderlich,Buy,,main
2012-03-20,Deutsche Bank,Hold,,main
2012-04-17,Deutsche Bank,Buy,,up
2012-04-30,Jefferies,Buy,,main
2012-05-04,ISI Group,Buy,,main
2012-05-04,Deutsche Bank,Buy,,main
2012-05-10,Morgan Stanley,Overweight,,main
2012-05-11,Morgan Stanley,Overweight,,main
2012-07-24,UBS,Buy,Neutral,up
2012-07-24,Jefferies,Buy,,main
2012-07-24,Wunderlich,Buy,,main
2012-07-24,Deutsche Bank,Hold,Buy,down
2012-09-10,Goldman Sachs,Buy,Neutral,up
2012-09-24,Citigroup,Neutral,,main
2012-10-18,UBS,Buy,,main
2012-11-05,Citigroup,Buy,Neutral,up
2012-11-05,UBS,Buy,,main
2013-01-17,Morgan Stanley,Overweight,,init
2013-01-18,Deutsche Bank,Hold,,main
2013-02-28,Wunderlich,Buy,,main
2013-03-01,Jefferies,Buy,,main
2013-03-11,UBS,Buy,,main
2013-04-17,Deutsche Bank,Hold,,main
2013-05-08,Wunderlich,Buy,,main
2013-08-02,Drexel Hamilton,Buy,,init
2013-09-09,Deutsche Bank,Hold,,main
2013-09-17,Morgan Stanley,Overweight,,main
2013-09-18,Goldman Sachs,Neutral,Buy,down
2013-11-07,Jefferies,Buy,,main
2013-11-15,Jefferies,Buy,,main
2013-12-05,UBS,Buy,,main
2014-03-20,Goldman Sachs,Conviction Buy,Neutral,up
2014-04-02,Barclays,Overweight,,up
2014-04-03,Morgan Stanley,Overweight,,main
2014-04-09,UBS,Buy,,main
2014-07-25,Jefferies,Buy,,main
2014-08-08,Tigress Financial,Neutral,,init
2014-08-08,Jefferies,Buy,,main
2014-09-23,Deutsche Bank,Buy,,init
2014-10-01,ISI Group,Strong Buy,Buy,up
2014-10-29,Deutsche Bank,Buy,,main
2014-12-17,Deutsche Bank,Buy,,main
2015-01-05,Barclays,Overweight,,main
2015-01-09,Credit Suisse,Outperform,,init
2015-03-02,Deutsche Bank,Buy,,main
2015-03-02,Barclays,Overweight,,main
2015-04-22,Deutsche Bank,Buy,,main
2015-09-21,Barclays,Buy,,main
2015-10-15,Susquehanna,Neutral,,init
2015-10-16,SunTrust Robinson Humphrey,Neutral,,init
2015-11-05,Deutsche Bank,Buy,,main
2015-12-01,Citigroup,Sell,,init
2015-12-07,Credit Suisse,Outperform,,main
2016-01-04,Barclays,Overweight,,main
2016-01-22,Barclays,Overweight,,main
2016-01-29,Guggenheim,Buy,,init
2016-02-16,SunTrust Robinson Humphrey,Neutral,,main
2016-03-07,SunTrust Robinson Humphrey,Neutral,,main
2016-03-18,Barclays,Overweight,,main
2016-06-09,UBS,Sell,Buy,down
2016-06-10,Citigroup,Sell,,main
2016-08-10,Barclays,Overweight,,main
2016-08-31,UBS,Sell,,main
2016-09-12,Citigroup,Sell,,main
2016-11-07,Citigroup,Neutral,Sell,up
2016-11-14,UBS,Neutral,Sell,up
2016-11-22,Bank of America,Neutral,Buy,down
2017-02-24,Citigroup,Buy,Neutral,up
2017-03-29,Goldman Sachs,Buy,Neutral,up
2017-06-01,UBS,Buy,Neutral,up
2017-07-13,Barclays,Overweight,,main
2018-02-23,UBS,Buy,,init
2018-03-28,UBS,Buy,Buy,main
2018-07-25,Bank of America,Buy,Buy,main
2018-08-07,Bank of America,Buy,Buy,main
2018-09-20,Macquarie,Outperform,Outperform,main
2018-09-27,Bank of America,Buy,Buy,main
2018-10-29,SunTrust Robinson Humphrey,Hold,Hold,main
2018-12-10,Citigroup,Buy,Buy,main
2019-01-28,Deutsche Bank,Hold,Buy,down
2019-04-11,Citigroup,Buy,Buy,main
2019-09-06,Morgan Stanley,Overweight,Equal-Weight,up
2019-09-17,SunTrust Robinson Humphrey,Hold,,main
2019-10-18,Citigroup,Buy,,main
2019-11-08,Morgan Stanley,Overweight,,main
2019-12-16,Morgan Stanley,Overweight,,main
2020-02-20,BMO Capital,Market Perform,,init
2020-02-25,Vertical Research,Hold,,init
2020-02-28,UBS,Buy,,main
2020-04-15,Morgan Stanley,Overweight,,main
2020-04-30,Morgan Stanley,Overweight,,main
2020-05-07,CFRA,Sell,Hold,down
2020-05-15,Morgan Stanley,Overweight,,main
2020-05-20,Seaport Global,Buy,,init
2020-06-17,Morgan Stanley,Overweight,,main
2020-07-27,B of A Securities,Buy,,main
2020-08-14,Morgan Stanley,Overweight,,main
2020-10-20,Morgan Stanley,Overweight,,main
2020-11-17,Morgan Stanley,Overweight,,main
2020-12-15,Morgan Stanley,Overweight,,main
2021-02-05,Morgan Stanley,Overweight,,main
2021-03-08,Morgan Stanley,Overweight,,main
2021-03-17,Wolfe Research,Peer Perform,Outperform,down
2021-03-18,Morgan Stanley,Overweight,,main
2021-04-20,Morgan Stanley,Overweight,,main
2021-08-19,Morgan Stanley,Overweight,,main
2022-01-05,UBS,Neutral,Buy,down
2022-04-21,B of A Securities,Neutral,Buy,down
2022-05-03,Morgan Stanley,Overweight,,main
