,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3878000000.0,2530000000.0,3491000000.0,3469000000.0
Minority Interest,,,,
Net Income,3005000000.0,2013000000.0,2722000000.0,2666000000.0
Selling General Administrative,,,,
Gross Profit,5730000000.0,4632000000.0,5190000000.0,5122000000.0
Ebit,4549000000.0,3478000000.0,4052000000.0,4020000000.0
Operating Income,4549000000.0,3478000000.0,4052000000.0,4020000000.0
Other Operating Expenses,,,,
Interest Expense,-646000000.0,-625000000.0,-604000000.0,-557000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,873000000.0,517000000.0,769000000.0,803000000.0
Total Revenue,11142000000.0,9789000000.0,11296000000.0,11458000000.0
Total Operating Expenses,6593000000.0,6311000000.0,7244000000.0,7438000000.0
Cost Of Revenue,5412000000.0,5157000000.0,6106000000.0,6336000000.0
Total Other Income Expense Net,-671000000.0,-948000000.0,-561000000.0,-551000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3005000000.0,2013000000.0,2722000000.0,2666000000.0
Net Income Applicable To Common Shares,3003000000.0,2010000000.0,2717000000.0,2660000000.0
