Date,Firm,To Grade,From Grade,Action
2012-02-16,Bank oferica,Buy,,main
2012-04-02,Jefferies,Hold,,main
2012-04-16,Deutsche Bank,Hold,,main
2012-04-25,Jefferies,Hold,,main
2012-04-25,UBS,Buy,,main
2012-04-25,BMO Capital,Outperform,,main
2012-04-25,Bank oferica,Buy,,main
2012-07-02,BB&T Capital,Buy,Hold,up
2012-07-25,Barclays,Equal-Weight,,main
2012-07-25,Stifel Nicolaus,Buy,,main
2012-07-25,JP Morgan,Neutral,,main
2012-07-25,Deutsche Bank,Hold,,main
2012-09-20,Credit Suisse,Outperform,,main
2012-09-20,BMO Capital,Outperform,,main
2012-09-20,Deutsche Bank,Hold,,main
2012-09-21,Stifel Nicolaus,Buy,,main
2012-09-21,Citigroup,Buy,,main
2012-09-21,Jefferies,Hold,,main
2012-09-24,Barclays,Equal-Weight,,main
2012-10-03,Bernstein,Market Perform,Underperform,up
2012-10-04,Jefferies,Hold,,main
2012-10-24,Barclays,Equal-Weight,,main
2012-10-24,Sterne Agee,Buy,,main
2012-10-24,UBS,Neutral,,main
2012-10-24,Stifel Nicolaus,Buy,,main
2012-10-24,BMO Capital,Outperform,,main
2012-10-24,Bank of America,Neutral,Buy,down
2012-10-24,Deutsche Bank,Hold,,main
2012-10-24,Jefferies,Hold,,main
2012-10-24,Citigroup,Neutral,Buy,down
2012-12-19,UBS,Neutral,,main
2013-01-03,Jefferies,Hold,,main
2013-01-07,Barclays,Equal-Weight,,main
2013-01-10,Goldman Sachs,Neutral,Buy,down
2013-01-10,Raymond James,Market Perform,Outperform,down
2013-01-14,Deutsche Bank,Buy,Hold,up
2013-01-18,Credit Suisse,Outperform,,main
2013-01-23,Stifel Nicolaus,Buy,,main
2013-01-23,BMO Capital,Outperform,,main
2013-01-23,Jefferies,Hold,,main
2013-01-23,UBS,Neutral,,main
2013-01-28,Jefferies,Buy,Hold,up
2013-01-30,Atlantic Equities,Overweight,Neutral,up
2013-02-04,Dahlman Rose,Buy,Hold,up
2013-04-03,JP Morgan,Neutral,,main
2013-04-05,Citigroup,Neutral,,main
2013-04-10,Jefferies,Buy,,main
2013-04-10,Deutsche Bank,Buy,,main
2013-04-24,Stifel Nicolaus,Buy,,main
2013-07-10,Deutsche Bank,Hold,Buy,down
2013-07-11,Buckingham Research,Buy,,init
2013-07-24,Stifel Nicolaus,Buy,,main
2013-07-24,Bank of America,Underperform,Neutral,down
2013-07-24,Credit Suisse,Outperform,,main
2013-07-24,Jefferies,Buy,,main
2013-10-02,Avondale Partners,Market Outperform,Market Perform,up
2013-10-17,RBC Capital,Sector Perform,Outperform,down
2013-10-23,Bank of America,Neutral,Underperform,up
2013-10-24,Deutsche Bank,Hold,,main
2013-12-16,Deutsche Bank,Hold,,main
2013-12-16,Deutsche Bank,Hold,,main
2013-12-20,Citigroup,Neutral,,main
2014-01-16,Stifel,Hold,Buy,down
2014-01-23,Bank of America,Buy,Neutral,up
2014-02-03,Wells Fargo,Outperform,Market Perform,up
2014-04-03,Atlantic Equities,Neutral,Overweight,down
2014-04-10,Macquarie,Neutral,,init
2014-04-24,Credit Suisse,Outperform,,main
2014-06-24,FBR Capital,Outperform,,main
2014-06-27,Citigroup,Neutral,,main
2014-06-30,Barclays,Overweight,Equal-Weight,up
2014-07-15,Deutsche Bank,Hold,,main
2014-07-24,Raymond James,Outperform,,main
2014-07-24,Macquarie,Neutral,,main
2014-07-24,Credit Suisse,Outperform,,main
2014-09-22,Barclays,Overweight,,main
2014-10-06,Barclays,Overweight,,main
2014-10-07,Citigroup,Neutral,,main
2014-10-14,Deutsche Bank,Hold,,main
2014-10-16,Credit Suisse,Neutral,Outperform,down
2014-12-10,Nomura,Neutral,,init
2015-01-12,Citigroup,Neutral,,main
2015-01-12,Barclays,Overweight,,main
2015-01-15,Deutsche Bank,Hold,,main
2015-01-27,Barclays,Overweight,,main
2015-01-27,Credit Suisse,Neutral,,main
2015-01-27,Avondale Partners,Market Perform,Market Outperform,down
2015-02-23,JP Morgan,Underweight,,init
2015-03-26,Cleveland Research,Neutral,,down
2015-04-14,TD Securities,Hold,Buy,down
2015-04-15,Citigroup,Neutral,,main
2015-06-08,Barclays,Overweight,,main
2015-06-10,Susquehanna,Positive,,main
2015-07-01,Citigroup,Neutral,,main
2015-07-10,RBC Capital,Sector Perform,,main
2015-07-16,Barclays,Equal-Weight,Overweight,down
2015-07-28,JP Morgan,Underweight,,main
2015-07-31,Argus,Hold,Buy,down
2015-09-11,Bank of America,Buy,Neutral,up
2015-10-02,Citigroup,Neutral,,main
2015-10-05,Barclays,Underweight,Equal-Weight,down
2015-10-12,Deutsche Bank,Hold,,main
2015-11-02,Macquarie,Underperform,Neutral,down
2015-11-24,BMO Capital,Market Perform,Outperform,down
2015-11-25,Topeka,Hold,,main
2015-12-07,Credit Suisse,Neutral,,main
2015-12-07,Barclays,Equal-Weight,Underweight,up
2016-01-11,Deutsche Bank,Hold,,main
2016-01-28,Macquarie,Underperform,,main
2016-01-28,Deutsche Bank,Hold,,main
2016-01-28,Barclays,Equal-Weight,,main
2016-01-28,Avondale Partners,Market Perform,Underperform,up
2016-01-28,Buckingham Research,Neutral,Buy,down
2016-01-29,Barclays,Equal-Weight,,main
