,2022-01-30,2021-01-31,2020-01-26,2019-01-27
Research Development,5268000000.0,3924000000.0,2829000000.0,2376000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,9941000000.0,4409000000.0,2970000000.0,3896000000.0
Minority Interest,,,,
Net Income,9752000000.0,4332000000.0,2796000000.0,4141000000.0
Selling General Administrative,2166000000.0,1912000000.0,1093000000.0,991000000.0
Gross Profit,17475000000.0,10557000000.0,6768000000.0,7171000000.0
Ebit,10041000000.0,4721000000.0,2846000000.0,3804000000.0
Operating Income,10041000000.0,4721000000.0,2846000000.0,3804000000.0
Other Operating Expenses,,,,
Interest Expense,-236000000.0,-184000000.0,-52000000.0,-58000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,189000000.0,77000000.0,174000000.0,-245000000.0
Total Revenue,26914000000.0,16675000000.0,10918000000.0,11716000000.0
Total Operating Expenses,16873000000.0,11954000000.0,8072000000.0,7912000000.0
Cost Of Revenue,9439000000.0,6118000000.0,4150000000.0,4545000000.0
Total Other Income Expense Net,-100000000.0,-312000000.0,124000000.0,92000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9752000000.0,4332000000.0,2796000000.0,4141000000.0
Net Income Applicable To Common Shares,9752000000.0,4332000000.0,2796000000.0,4141000000.0
