Date,Firm,To Grade,From Grade,Action
2012-02-13,FBR Capital,Outperform,,up
2012-02-16,Evercore Partners,Underweight,,main
2012-02-16,Bank oferica,Neutral,,down
2012-04-05,Cantor Fitzgerald,Buy,,init
2012-05-14,Jefferies,Hold,,main
2012-05-14,Salman Partners,Buy,,main
2012-05-31,Morgan Stanley,Equal-Weight,,init
2012-06-11,UBS,Buy,,up
2012-06-25,Canaccord Genuity,Buy,Hold,up
2012-06-28,Lazard,Neutral,,init
2012-07-10,Raymond James,Strong Buy,,main
2012-08-07,FBR Capital,Outperform,,main
2012-08-10,Jefferies,Hold,,main
2012-08-10,Wedbush,Outperform,,main
2012-08-10,Citigroup,Hold,,main
2012-08-10,Stifel Nicolaus,Buy,,main
2012-08-10,UBS,Buy,,main
2012-08-10,Barclays,Equal-Weight,,main
2012-08-10,FBR Capital,Outperform,,main
2012-09-13,Citigroup,Neutral,,main
2012-09-28,Brean Capital,Hold,,init
2012-10-10,Deutsche Bank,Hold,,main
2012-10-19,FBR Capital,Market Perform,Outperform,down
2012-11-05,BMO Capital,Market Perform,,main
2012-11-06,UBS,Buy,,main
2012-11-07,Wedbush,Outperform,,main
2012-11-09,Jefferies,Hold,,main
2012-11-09,FBR Capital,Market Perform,,main
2012-11-09,Nomura,Buy,,main
2012-12-05,Oppenheimer,Perform,Outperform,down
2013-01-03,Barclays,Equal-Weight,,main
2013-02-12,FBR Capital,Market Perform,,main
2013-02-14,Stifel Nicolaus,Buy,,main
2013-02-14,BMO Capital,Market Perform,,main
2013-02-14,Nomura,Buy,,main
2013-02-14,Deutsche Bank,Hold,,main
2013-02-14,Needham,Hold,Buy,down
2013-03-11,Susquehanna,Negative,Neutral,down
2013-05-23,Topeka,Hold,,init
2013-07-31,Wells Fargo,Market Perform,Outperform,down
2013-08-09,Nomura,Buy,,main
2013-10-11,Macquarie,Underperform,Neutral,down
2013-11-08,FBR Capital,Market Perform,,main
2013-11-18,Morgan Stanley,Underweight,Equal-weight,down
2014-01-09,Canaccord Genuity,Hold,Buy,down
2014-01-21,Evercore Partners,Equal-weight,Underweight,up
2014-02-03,Susquehanna,Neutral,Negative,up
2014-02-13,B. Riley FBR,Buy,Neutral,up
2014-02-13,FBR Capital,Market Perform,,main
2014-02-13,Stifel Nicolaus,Buy,,main
2014-03-19,Stifel Nicolaus,Buy,,main
2014-03-21,CLSA,Underperform,,init
2014-04-01,JMP Securities,Market Outperform,,up
2014-04-10,ISI Group,Neutral,,init
2014-05-09,JP Morgan,Neutral,,main
2014-05-09,Citigroup,Hold,,main
2014-05-09,Stifel Nicolaus,Buy,,main
2014-05-09,Jefferies,Hold,,main
2014-05-19,RBC Capital,Outperform,Sector Perform,up
2014-06-19,Bank of America,Underperform,Neutral,down
2014-06-23,Pacific Crest,Underperform,Sector Perform,down
2014-08-08,Nomura,Buy,,main
2014-08-08,BMO Capital,Market Perform,,main
2014-08-08,JP Morgan,Neutral,,main
2014-08-08,Needham,Buy,Hold,up
2014-11-03,Pacific Crest,Sector Perform,Underperform,up
2014-11-07,JP Morgan,Neutral,,main
2014-11-07,Canaccord Genuity,Hold,,main
2014-11-07,Stifel Nicolaus,Buy,,main
2014-11-25,Nomura,Buy,,main
2014-12-19,Bank of America,Neutral,Underperform,up
2015-02-12,Stifel Nicolaus,Buy,,main
2015-02-12,JMP Securities,Market Outperform,,main
2015-02-12,Jefferies,Hold,,main
2015-02-12,Deutsche Bank,Hold,,main
2015-02-12,Canaccord Genuity,Hold,,main
2015-02-12,Barclays,Equal-Weight,,main
2015-03-10,Bank of America,Buy,Neutral,up
2015-03-23,Goldman Sachs,Sell,Neutral,down
2015-05-08,Roth Capital,Neutral,Buy,down
2015-05-08,JMP Securities,Market Outperform,,main
