,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1935000000.0,1686000000.0,1627000000.0,1700000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2178000000.0,-3000000.0,292000000.0,2434000000.0
Minority Interest,242000000.0,207000000.0,214000000.0,185000000.0
Net Income,1871000000.0,52000000.0,243000000.0,2208000000.0
Selling General Administrative,966000000.0,865000000.0,920000000.0,996000000.0
Gross Profit,6067000000.0,4250000000.0,4621000000.0,4851000000.0
Ebit,2609000000.0,412000000.0,644000000.0,706000000.0
Operating Income,2609000000.0,412000000.0,644000000.0,706000000.0
Other Operating Expenses,1000000.0,-4000000.0,-5000000.0,40000000.0
Interest Expense,-369000000.0,-362000000.0,-370000000.0,-273000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,272000000.0,-83000000.0,20000000.0,176000000.0
Total Revenue,11063000000.0,8612000000.0,8877000000.0,9407000000.0
Total Operating Expenses,8454000000.0,8200000000.0,8233000000.0,8701000000.0
Cost Of Revenue,4996000000.0,4362000000.0,4256000000.0,4556000000.0
Total Other Income Expense Net,-431000000.0,-415000000.0,-352000000.0,1728000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1906000000.0,80000000.0,272000000.0,2258000000.0
Net Income Applicable To Common Shares,1871000000.0,52000000.0,243000000.0,2208000000.0
