,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,392404000.0,411199000.0,443636000.0,369938000.0
Minority Interest,76826000.0,32247000.0,29702000.0,32236000.0
Net Income,359456000.0,395486000.0,436482000.0,363614000.0
Selling General Administrative,96980000.0,69752000.0,66483000.0,65497000.0
Gross Profit,1947964000.0,1542484000.0,1399578000.0,1261512000.0
Ebit,953149000.0,795694000.0,739134000.0,656235000.0
Operating Income,953149000.0,795694000.0,739134000.0,656235000.0
Other Operating Expenses,,,,
Interest Expense,-323644000.0,-309336000.0,-290991000.0,-266020000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,31657000.0,14693000.0,6158000.0,5340000.0
Total Revenue,2081569000.0,1647087000.0,1488163000.0,1327838000.0
Total Operating Expenses,1128420000.0,851393000.0,749029000.0,671603000.0
Cost Of Revenue,133605000.0,104603000.0,88585000.0,66326000.0
Total Other Income Expense Net,-560745000.0,-384495000.0,-295498000.0,-286297000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,360747000.0,396506000.0,437478000.0,364598000.0
Net Income Applicable To Common Shares,359456000.0,395486000.0,436482000.0,363614000.0
