,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1388423000.0,901364000.0,823949000.0,815513000.0
Minority Interest,,,,
Net Income,1034375000.0,672682000.0,615518000.0,605668000.0
Selling General Administrative,189608000.0,152643000.0,176524000.0,163298000.0
Gross Profit,2000794000.0,1458315000.0,1394296000.0,1343530000.0
Ebit,1391602000.0,906882000.0,818706000.0,817051000.0
Operating Income,1391602000.0,906882000.0,818706000.0,817051000.0
Other Operating Expenses,159701000.0,137531000.0,145385000.0,132824000.0
Interest Expense,-1727000.0,-2782000.0,-377000.0,-189000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,354048000.0,228682000.0,208431000.0,209845000.0
Total Revenue,5256328000.0,4015129000.0,4109111000.0,4043695000.0
Total Operating Expenses,3864726000.0,3108247000.0,3290405000.0,3226644000.0
Cost Of Revenue,3255534000.0,2556814000.0,2714815000.0,2700165000.0
Total Other Income Expense Net,-3179000.0,-5518000.0,5243000.0,-1538000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1034375000.0,672682000.0,615518000.0,605668000.0
Net Income Applicable To Common Shares,1034375000.0,672682000.0,615518000.0,605668000.0
