Date,Firm,To Grade,From Grade,Action
2012-07-12,BMO Capital,Outperform,Market Perform,up
2012-07-17,Barclays,Overweight,,main
2012-08-01,Morgan Stanley,Overweight,,main
2012-08-01,UBS,Buy,,main
2012-09-26,JP Morgan,Overweight,,main
2012-09-27,Deutsche Bank,Hold,,main
2013-01-14,Argus,Buy,Hold,up
2013-02-26,UBS,Buy,,main
2013-05-01,Morgan Stanley,Equal-Weight,Overweight,down
2013-05-02,Barclays,Equal-Weight,Overweight,down
2013-07-25,Morgan Stanley,Overweight,Equal-Weight,up
2013-07-29,ISI Group,Buy,,init
2013-09-04,Jefferies,Hold,,init
2013-10-10,Jefferies,Buy,Hold,up
2013-11-20,Goldman Sachs,Neutral,,main
2013-11-25,Baird,Outperform,,init
2013-11-26,Jefferies,Buy,,main
2013-12-04,Deutsche Bank,Hold,,main
2013-12-05,Argus,,Buy,down
2014-01-16,Oppenheimer,Outperform,,init
2014-01-23,US Capital Advisors,Hold,Buy,down
2014-03-27,JP Morgan,Overweight,,main
2014-03-31,UBS,Neutral,,init
2014-04-17,Jefferies,Buy,,main
2014-05-08,Barclays,Equal-Weight,,main
2014-05-09,Wells Fargo,Market Perform,Outperform,down
2014-07-22,JP Morgan,Overweight,,main
2014-10-02,JP Morgan,Neutral,Overweight,down
2014-10-27,Goldman Sachs,Neutral,Buy,down
2014-11-04,Barclays,Equal-Weight,,main
2015-01-09,Jefferies,Buy,,main
2015-01-23,Barclays,Equal-Weight,,main
2015-02-24,JP Morgan,Underweight,Neutral,down
2015-02-25,Evercore ISI Group,Hold,Buy,down
2015-02-25,Goldman Sachs,Neutral,Buy,down
2015-03-24,Bank of America,Underperform,,init
2015-04-20,Barclays,Equal-Weight,,main
2015-05-19,Deutsche Bank,Sell,,init
2015-07-15,Citigroup,Neutral,,main
2015-08-20,Jefferies,Buy,,main
2015-09-14,Credit Suisse,Neutral,,init
2015-09-15,Citigroup,Buy,Neutral,up
2015-10-20,Deutsche Bank,Sell,,main
2015-11-16,Deutsche Bank,Sell,,main
2015-11-18,Deutsche Bank,Sell,,main
2015-12-16,Barclays,Equal-Weight,,main
2015-12-31,Credit Suisse,Outperform,Neutral,up
2016-01-11,Argus,Buy,Hold,up
2016-01-14,Jefferies,Buy,,main
2016-01-20,Morgan Stanley,Overweight,Equal-Weight,up
2016-01-22,Oppenheimer,Perform,Outperform,down
2016-02-08,Baird,Neutral,Outperform,down
2016-02-23,UBS,Neutral,,main
2016-02-25,Credit Suisse,Neutral,,main
2016-03-28,RBC Capital,Sector Perform,,init
2016-04-19,BMO Capital,Market Perform,,init
2016-04-19,Citigroup,Buy,,main
2016-05-05,Goldman Sachs,Neutral,,main
2016-05-05,Credit Suisse,Neutral,,main
2016-05-09,Barclays,Overweight,Equal-Weight,up
2016-05-18,US Capital Advisors,Hold,Overweight,down
2016-06-08,Jefferies,Hold,Buy,down
2016-06-17,Citigroup,Buy,,main
2016-06-17,Argus,Hold,Buy,down
2016-07-25,Jefferies,Hold,,main
2016-10-04,Morgan Stanley,Equal-weight,Overweight,down
2016-10-10,Deutsche Bank,Hold,Hold,up
2016-12-13,Barclays,Equal-Weight,Overweight,down
2017-01-25,Citigroup,Neutral,Buy,down
2017-02-02,Credit Suisse,Outperform,Neutral,up
2017-02-23,Jefferies,Hold,Underperform,up
2017-04-18,Guggenheim,Buy,,init
2017-06-14,UBS,Buy,Neutral,up
2017-06-21,Argus,Buy,Hold,up
2017-06-26,Stifel Nicolaus,Hold,,init
2017-07-05,Morgan Stanley,Equal-Weight,Overweight,down
2017-07-05,BMO Capital,Outperform,Market Perform,up
2017-08-03,Credit Suisse,Outperform,,main
2017-08-24,Argus,Buy,,main
2017-10-10,Mizuho,Neutral,,init
2017-11-01,UBS,Buy,,main
2018-01-04,U.S. Capital Advisors,Buy,Overweight,up
2018-01-08,Credit Suisse,Outperform,,init
2018-01-11,Wells Fargo,Outperform,Market Perform,up
2018-01-16,RBC Capital,Outperform,Sector Perform,up
2018-01-17,Barclays,Overweight,Equal-Weight,up
2018-02-12,JP Morgan,Neutral,Underweight,main
2018-02-28,Stifel Nicolaus,Hold,Hold,main
2018-03-02,UBS,Buy,Buy,main
2018-03-20,Jefferies,Buy,Hold,up
2018-04-17,Seaport Global,Neutral,,init
2018-04-17,Barclays,Overweight,Overweight,main
2018-04-20,Deutsche Bank,Hold,,init
2018-05-03,Stifel Nicolaus,Hold,Hold,main
2018-06-12,Barclays,Overweight,Overweight,main
