Date,Firm,To Grade,From Grade,Action
2012-05-07,Societe Generale,Buy,,up
2012-07-02,Barclays,Equal-Weight,,main
2012-07-20,Citigroup,Neutral,,main
2012-10-05,Barclays,Equal-Weight,,main
2012-10-26,Credit Suisse,Outperform,,main
2012-10-26,Macquarie,Neutral,Outperform,down
2012-11-15,UBS,Buy,,main
2012-12-10,Standpoint Research,Buy,,init
2012-12-11,Dahlman Rose,Buy,,init
2013-02-01,UBS,Buy,,main
2013-02-25,Raymond James,Outperform,Market Perform,up
2013-04-30,Deutsche Bank,Buy,Hold,up
2013-05-03,Standpoint Research,Hold,Buy,down
2013-06-05,Sterne Agee,Neutral,Buy,down
2013-06-10,UBS,Neutral,Buy,down
2013-09-12,Guggenheim,Buy,,init
2013-09-26,Wells Fargo,Outperform,Market Perform,up
2013-09-27,Susquehanna,Positive,Neutral,up
2013-11-04,Barclays,Overweight,Equal-weight,up
2013-12-19,Atlantic Equities,Neutral,,init
2013-12-31,iBERIA Capital Partners,Outperform,,init
2014-01-08,Scotia Howard Weil,Sector Perform,Sector Outperform,down
2014-01-31,UBS,Neutral,,main
2014-04-22,Barclays,Overweight,,main
2014-04-23,Seaport Global,Neutral,,init
2014-05-09,Citigroup,Buy,Hold,up
2014-05-20,Barclays,Overweight,,main
2014-06-10,Deutsche Bank,Hold,,init
2014-06-13,Jefferies,Buy,,init
2014-06-13,UBS,Neutral,,main
2014-07-17,Deutsche Bank,Hold,,main
2014-07-21,Barclays,Overweight,,main
2014-08-04,Morgan Stanley,Overweight,Equal-Weight,up
2014-08-13,Simmons & Co.,Neutral,Overweight,down
2014-09-16,Barclays,Equal-weight,Overweight,down
2014-10-09,Barclays,Equal-Weight,,main
2014-10-15,Credit Suisse,Neutral,Outperform,down
2014-10-20,Morgan Stanley,Overweight,,main
2014-10-21,Jefferies,Buy,,main
2014-10-27,Barclays,Equal-Weight,,main
2014-11-14,Barclays,Underweight,Equal-Weight,down
2014-11-14,Credit Suisse,Neutral,,main
2014-11-24,Raymond James,Strong Buy,Outperform,up
2014-12-01,Bank of America,Buy,,main
2014-12-01,Jefferies,Buy,,main
2014-12-15,Sterne Agee,Buy,Neutral,up
2014-12-16,Barclays,Underweight,,main
2015-01-14,Barclays,Underweight,,main
2015-01-15,Jefferies,Buy,,main
2015-01-26,Citigroup,Buy,,main
2015-02-02,Argus,Buy,,main
2015-02-10,Citigroup,Neutral,Buy,down
2015-05-28,JP Morgan,Overweight,,init
2015-06-01,Deutsche Bank,Buy,Hold,up
2015-06-17,Argus,Buy,,main
2015-07-13,Barclays,Underweight,,main
2015-07-31,Barclays,Underweight,,main
2015-09-08,Barclays,Underweight,,main
2015-09-08,Credit Suisse,Neutral,,main
2015-09-14,Citigroup,Neutral,,main
2015-09-29,BMO Capital,Outperform,,init
2015-10-08,Wolfe Research,Outperform,,up
2015-12-15,JP Morgan,Overweight,,main
2015-12-17,iBERIA Capital Partners,Sector Perform,Outperform,down
2016-01-07,Deutsche Bank,Buy,,main
2016-01-12,Jefferies,Hold,,down
2016-01-28,Barclays,Underweight,,main
2016-01-29,Barclays,Underweight,,main
2016-02-03,GMP Securities,Buy,,init
2016-02-08,Barclays,Underweight,,main
2016-05-09,JP Morgan,Neutral,Overweight,down
2016-06-13,Morgan Stanley,Equal-Weight,Overweight,down
2016-07-07,Raymond James,Outperform,Strong Buy,down
2016-07-14,Barclays,Underweight,,main
2016-08-04,UBS,Neutral,,main
2016-08-05,Deutsche Bank,Hold,Buy,down
2016-09-12,JP Morgan,Underweight,Neutral,down
2016-10-06,Mizuho Securities,Buy,,init
2016-12-16,Goldman Sachs,Neutral,Sell,up
2017-01-04,Bank of America,Neutral,Buy,down
2017-01-11,BMO Capital,Market Perform,,down
2017-02-13,Mizuho,Neutral,Buy,down
2017-03-14,Credit Suisse,Outperform,Neutral,up
