,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5115000000.0,3119000000.0,3170000000.0,3937000000.0
Minority Interest,675000000.0,882000000.0,336000000.0,293000000.0
Net Income,4543000000.0,2422000000.0,3308000000.0,3455000000.0
Selling General Administrative,6451000000.0,5389000000.0,5580000000.0,5113000000.0
Gross Profit,10842000000.0,10452000000.0,10874000000.0,11026000000.0
Ebit,4001000000.0,4665000000.0,4876000000.0,5486000000.0
Operating Income,4001000000.0,4665000000.0,4876000000.0,5486000000.0
Other Operating Expenses,,5000000.0,5000000.0,5000000.0
Interest Expense,-986000000.0,-1031000000.0,-962000000.0,-1030000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,646000000.0,535000000.0,-29000000.0,580000000.0
Total Revenue,28586000000.0,25285000000.0,26998000000.0,26425000000.0
Total Operating Expenses,24585000000.0,20620000000.0,22122000000.0,20939000000.0
Cost Of Revenue,17744000000.0,14833000000.0,16124000000.0,15399000000.0
Total Other Income Expense Net,1114000000.0,-1546000000.0,-1706000000.0,-1549000000.0
Discontinued Operations,162000000.0,117000000.0,140000000.0,135000000.0
Net Income From Continuing Ops,4469000000.0,2584000000.0,3199000000.0,3357000000.0
Net Income Applicable To Common Shares,4499000000.0,2422000000.0,3308000000.0,3455000000.0
