Date,Firm,To Grade,From Grade,Action
2014-05-12,JP Morgan,Overweight,,init
2014-05-12,Barclays,Overweight,,init
2014-05-12,Pacific Crest,Outperform,,init
2014-05-12,Stifel Nicolaus,Buy,,init
2014-05-12,Canaccord Genuity,Buy,,init
2014-05-16,Stifel Nicolaus,Buy,,main
2014-08-06,Barclays,Overweight,,main
2014-09-04,Barclays,Overweight,,main
2014-11-05,Stifel Nicolaus,Buy,,main
2014-11-05,Canaccord Genuity,Buy,,main
2014-11-05,Barclays,Overweight,,main
2014-11-21,Jefferies,Buy,,init
2014-12-03,Barclays,Equal-weight,Overweight,down
2015-01-21,Credit Suisse,Outperform,,init
2015-02-11,JP Morgan,Overweight,,main
2015-02-11,Jefferies,Buy,,main
2015-02-11,Barclays,Equal-Weight,,main
2015-02-11,Stifel Nicolaus,Buy,,main
2015-03-17,Brean Capital,Buy,,init
2015-05-07,Barclays,Equal-Weight,,main
2015-05-07,Jefferies,Buy,,main
2015-05-07,Canaccord Genuity,Buy,,main
2015-08-05,Barclays,Equal-Weight,,main
2015-11-04,Pacific Crest,Overweight,,main
2015-11-04,Stifel Nicolaus,Buy,,main
2016-01-06,Barclays,Overweight,Equal-Weight,up
2016-01-06,Baird,Outperform,,init
2016-02-10,JP Morgan,Overweight,,main
2016-02-10,Barclays,Overweight,,main
2016-02-18,Wunderlich,Buy,,init
2016-04-19,UBS,Buy,,init
2016-06-16,Stifel Nicolaus,Buy,,main
2016-07-15,Barclays,Overweight,,main
2016-08-03,Stifel Nicolaus,Buy,,main
2016-08-03,UBS,Buy,,main
2016-09-13,Barclays,Overweight,,main
2016-09-30,RBC Capital,Sector Perform,,init
2016-11-02,JP Morgan,Neutral,Overweight,down
2016-12-02,Oppenheimer,Outperform,,init
2017-01-30,Pacific Crest,Sector Weight,Overweight,down
2017-02-23,Wunderlich,Buy,,reit
2017-03-03,Mizuho,Buy,,init
2017-05-12,Wells Fargo,Outperform,,init
2017-07-10,Mizuho,Neutral,Buy,down
2017-08-02,Canaccord Genuity,Buy,,main
2017-08-02,Credit Suisse,Outperform,,main
2017-09-13,Barclays,Overweight,,main
2017-10-31,Dougherty,Buy,,init
2017-11-01,JP Morgan,Neutral,,main
2017-11-01,Credit Suisse,Neutral,Outperform,down
2017-11-01,Barclays,Overweight,,main
2017-11-01,Oppenheimer,Outperform,,main
2017-11-01,Jefferies,Buy,,main
2017-11-06,Bank of America,Buy,,init
2018-02-07,Credit Suisse,Neutral,Neutral,main
2018-02-07,Barclays,Overweight,Overweight,main
2018-02-07,Baird,Outperform,Outperform,main
2018-02-07,Stifel Nicolaus,Buy,Buy,main
2018-02-07,Bank of America,Buy,Buy,main
2018-02-13,KeyBanc,Overweight,Sector Weight,up
2018-03-13,KeyBanc,Overweight,Overweight,main
2018-03-23,Stifel Nicolaus,Hold,Buy,down
2018-04-12,Barclays,Equal-Weight,Overweight,down
2018-05-02,Barclays,Equal-Weight,Equal-Weight,main
2018-05-02,Credit Suisse,Neutral,Neutral,main
2018-07-19,Needham,Buy,,init
2018-08-01,Barclays,Equal-Weight,Equal-Weight,main
2018-08-01,Bank of America,Buy,Buy,main
2018-08-01,Credit Suisse,Neutral,Neutral,main
2018-08-01,Stifel Nicolaus,Hold,Hold,main
2018-08-21,Guggenheim,Neutral,,init
2018-09-07,Barclays,Equal-Weight,Equal-Weight,main
2018-09-26,Bank of America,Neutral,Buy,down
2018-10-01,Canaccord Genuity,Hold,Buy,down
