,2021-05-31,2020-05-31,2019-05-31,2018-05-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1434200000.0,1437100000.0,1368000000.0,1300100000.0
Minority Interest,,,,
Net Income,1097500000.0,1098100000.0,1034400000.0,994100000.0
Selling General Administrative,1324900000.0,1299200000.0,1218100000.0,1068000000.0
Gross Profit,2785600000.0,2759700000.0,2594700000.0,2359500000.0
Ebit,1460700000.0,1460500000.0,1376600000.0,1291500000.0
Operating Income,1460700000.0,1460500000.0,1376600000.0,1291500000.0
Other Operating Expenses,,,,
Interest Expense,-33500000.0,-38800000.0,-17600000.0,-3900000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,336700000.0,339000000.0,333600000.0,306000000.0
Total Revenue,4056800000.0,4040500000.0,3772500000.0,3377700000.0
Total Operating Expenses,2596100000.0,2580000000.0,2395900000.0,2086200000.0
Cost Of Revenue,1271200000.0,1280800000.0,1177800000.0,1018200000.0
Total Other Income Expense Net,-25300000.0,-23400000.0,-8600000.0,8600000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1097500000.0,1098100000.0,1034400000.0,994100000.0
Net Income Applicable To Common Shares,1097500000.0,1098100000.0,1034400000.0,994100000.0
