,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,134467000.0,151084000.0,169990000.0,832822000.0
Minority Interest,630634000.0,613623000.0,582416000.0,568152000.0
Net Income,505540000.0,413563000.0,45530000.0,1061093000.0
Selling General Administrative,106303000.0,99237000.0,92966000.0,94702000.0
Gross Profit,1127375000.0,832738000.0,833132000.0,811526000.0
Ebit,336786000.0,179552000.0,304975000.0,312143000.0
Operating Income,336786000.0,179552000.0,304975000.0,312143000.0
Other Operating Expenses,,,,
Interest Expense,-157980000.0,-218336000.0,-217612000.0,-261280000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-3261000.0,-9423000.0,-5479000.0,-4396000.0
Total Revenue,1896184000.0,1644875000.0,1240339000.0,1191320000.0
Total Operating Expenses,1559398000.0,1465323000.0,935364000.0,879177000.0
Cost Of Revenue,768809000.0,812137000.0,407207000.0,379794000.0
Total Other Income Expense Net,-202319000.0,-28468000.0,-134985000.0,520679000.0
Discontinued Operations,385663000.0,267450000.0,-115381000.0,236169000.0
Net Income From Continuing Ops,137728000.0,160507000.0,175469000.0,837218000.0
Net Income Applicable To Common Shares,502271000.0,411147000.0,43987000.0,1058424000.0
