,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,539100000.0,-834200000.0,86100000.0,89900000.0
Minority Interest,-700000.0,-400000.0,-800000.0,-5000.0
Net Income,420800000.0,-669500000.0,43900000.0,93500000.0
Selling General Administrative,1306200000.0,1118500000.0,1183700000.0,618500000.0
Gross Profit,2937200000.0,1710700000.0,2346900000.0,1539900000.0
Ebit,1106300000.0,225500000.0,749000000.0,652400000.0
Operating Income,1106300000.0,225500000.0,749000000.0,652400000.0
Other Operating Expenses,180200000.0,180200000.0,180200000.0,180200000.0
Interest Expense,-562800000.0,-544100000.0,-535600000.0,-539400000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,118600000.0,-165100000.0,43000000.0,-3600000.0
Total Revenue,5905000000.0,3578700000.0,5301400000.0,3530600000.0
Total Operating Expenses,4798700000.0,3353200000.0,4552400000.0,2878200000.0
Cost Of Revenue,2967800000.0,1868000000.0,2954500000.0,1990700000.0
Total Other Income Expense Net,-567200000.0,-1059700000.0,-662900000.0,-562500000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,420500000.0,-669100000.0,43100000.0,93500000.0
Net Income Applicable To Common Shares,418700000.0,-669500000.0,43900000.0,93500000.0
