,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,10517000000.0,8867000000.0,7721000000.0,7713000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,24310000000.0,7036000000.0,11320000000.0,3595000000.0
Minority Interest,262000000.0,235000000.0,303000000.0,351000000.0
Net Income,21979000000.0,9159000000.0,16026000000.0,11153000000.0
Selling General Administrative,9565000000.0,11419000000.0,12766000000.0,12149000000.0
Gross Profit,50627000000.0,33284000000.0,33058000000.0,31953000000.0
Ebit,26845000000.0,9650000000.0,8142000000.0,7355000000.0
Operating Income,26845000000.0,9650000000.0,8142000000.0,7355000000.0
Other Operating Expenses,,,,-1002000000.0
Interest Expense,-1291000000.0,-1449000000.0,-1573000000.0,-1316000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1852000000.0,370000000.0,583000000.0,-266000000.0
Total Revenue,81288000000.0,41651000000.0,40905000000.0,40825000000.0
Total Operating Expenses,54443000000.0,32001000000.0,32763000000.0,33470000000.0
Cost Of Revenue,30661000000.0,8367000000.0,7847000000.0,8872000000.0
Total Other Income Expense Net,-2535000000.0,-2614000000.0,3178000000.0,-3760000000.0
Discontinued Operations,-434000000.0,2529000000.0,5318000000.0,7328000000.0
Net Income From Continuing Ops,22458000000.0,6666000000.0,10737000000.0,3861000000.0
Net Income Applicable To Common Shares,21979000000.0,9159000000.0,16025000000.0,11152000000.0
