Date,Firm,To Grade,From Grade,Action
2012-03-27,Goldman Sachs,Buy,,main
2012-04-02,Citigroup,Neutral,,main
2012-04-09,ISI Group,Buy,,init
2012-07-13,Jefferies,Buy,,main
2012-07-18,Morgan Stanley,Overweight,,main
2012-07-31,Bank of America,Buy,,main
2012-08-09,Jefferies,Buy,,main
2012-10-04,Morgan Stanley,Overweight,,main
2012-10-12,Jefferies,Buy,,main
2012-10-15,Barclays,Equal-Weight,,main
2012-11-02,BMO Capital,Outperform,,main
2012-11-12,Jefferies,Buy,,main
2012-11-27,MKM Partners,Neutral,Buy,down
2012-11-29,Citigroup,Buy,,main
2012-11-30,Citigroup,Buy,,init
2012-12-13,JP Morgan,Overweight,,main
2013-01-16,Jefferies,Buy,,main
2013-01-28,BMO Capital,Outperform,,main
2013-01-29,Hilliard Lyons,Long-Term Buy,,main
2013-01-30,BMO Capital,Outperform,,main
2013-01-30,JP Morgan,Overweight,,main
2013-01-30,UBS,Buy,,main
2013-01-30,Goldman Sachs,Buy,,main
2013-03-04,Bank of America,Buy,,main
2013-03-07,Morgan Stanley,Overweight,,main
2013-04-10,Jefferies,Buy,,main
2013-04-17,BMO Capital,Outperform,,main
2013-05-29,SunTrust Robinson Humphrey,,,init
2013-06-07,Jefferies,Buy,,main
2013-07-02,Standpoint Research,Sell,Hold,down
2013-07-12,Jefferies,Hold,Buy,down
2013-10-08,Credit Suisse,Outperform,,init
2013-11-14,LBBW Research,Buy,Hold,up
2013-12-19,Morgan Stanley,Overweight,,main
2014-01-10,Cowen & Co.,Market Perform,Outperform,down
2014-01-27,Atlantic Equities,Overweight,,main
2014-02-04,Jefferies,Buy,Hold,up
2014-02-21,Bank of America,Buy,,main
2014-03-13,SunTrust Robinson Humphrey,Reduce,,main
2014-03-14,Morgan Stanley,Overweight,,main
2014-04-14,Jefferies,Buy,,main
2014-04-29,Citigroup,Buy,,main
2014-05-02,Credit Suisse,Outperform,,main
2014-05-08,Credit Suisse,Outperform,,main
2014-07-02,Barclays,Equal-Weight,,main
2014-07-14,Jefferies,Buy,,main
2014-07-28,BMO Capital,Market Perform,Outperform,down
2014-08-27,Deutsche Bank,Buy,,init
2014-10-13,Jefferies,Buy,,main
2014-12-18,Deutsche Bank,Buy,,main
2015-02-09,Citigroup,Buy,,main
2015-02-09,BMO Capital,Outperform,Market Perform,up
2015-02-10,JP Morgan,Overweight,,main
2015-02-20,Jefferies,Buy,,main
2015-03-11,Deutsche Bank,Buy,,main
2015-03-23,Jefferies,Buy,,main
2015-04-29,JP Morgan,Overweight,,main
2015-04-29,Deutsche Bank,Buy,,main
2015-06-17,PiperJaffray,Overweight,,init
2015-06-17,Jefferies,Overweight,,init
2015-08-07,Jefferies,Buy,,main
2015-10-02,Morgan Stanley,Overweight,Equal-Weight,up
2015-10-20,Cowen & Co.,Outperform,Market Perform,up
2015-11-03,Argus,Buy,,main
2015-11-25,SunTrust Robinson Humphrey,Neutral,Reduce,up
2015-12-18,Atlantic Equities,Overweight,,init
2016-01-14,Jefferies,Buy,,main
2016-02-11,Argus,Buy,,main
2016-02-16,SunTrust Robinson Humphrey,Neutral,,main
2016-04-06,Societe Generale,Hold,,init
2016-04-07,Jefferies,Buy,,main
2016-05-02,Leerink Swann,Market Perform,,main
2016-05-05,Leerink Swann,Market Perform,,main
2016-05-09,Credit Suisse,Outperform,,main
2016-05-12,Berenberg,Hold,,init
2016-06-14,Jefferies,Buy,,main
2016-06-20,Jefferies,Buy,,main
2016-07-14,Jefferies,Buy,,main
2016-08-04,Jefferies,Buy,,main
2016-09-13,Jefferies,Buy,,main
2016-10-13,Jefferies,Hold,Buy,down
2016-11-02,BMO Capital,Market Perform,Outperform,down
2016-11-02,Argus,Hold,Buy,down
2016-11-29,Barclays,Overweight,Equal-Weight,up
2016-12-02,Guggenheim,Neutral,,init
2017-05-16,Citigroup,Sell,Neutral,down
2017-07-20,Credit Suisse,Neutral,,main
2017-07-20,Credit Suisse,Neutral,Outperform,down
2017-08-02,BMO Capital,Outperform,Market Perform,up
2017-09-20,Morgan Stanley,Overweight,Equal-Weight,up
2017-10-19,BMO Capital,Outperform,,main
2018-01-31,Barclays,Overweight,Overweight,main
