Date,Firm,To Grade,From Grade,Action
2012-02-28,Evercore Partners,Equal-Weight,,main
2012-03-28,Credit Suisse,Outperform,,up
2012-04-23,Citigroup,Neutral,,down
2012-04-25,Morgan Stanley,Underweight,,down
2012-04-26,UBS,Neutral,,main
2012-05-16,Bank of America,Neutral,,main
2012-06-11,UBS,Neutral,,main
2012-07-02,Deutsche Bank,Sell,Hold,down
2012-07-12,Bank of America,Neutral,,main
2012-08-02,Bank of America,Neutral,,main
2012-08-06,Credit Suisse,Neutral,Outperform,down
2012-08-15,Bank of America,Neutral,,main
2012-10-01,Barclays,Overweight,,main
2012-10-11,Keefe Bruyette & Woods,Market Perform,,main
2012-10-11,Barclays,Overweight,,main
2012-10-15,Citigroup,Sell,Neutral,down
2012-10-15,Citigroup,Sell,Neutral,down
2012-11-16,Deutsche Bank,Sell,,main
2013-01-17,Macquarie,Underperform,Neutral,down
2013-02-14,Barclays,Equal-Weight,Overweight,down
2013-02-15,Bank of America,Neutral,,main
2013-03-14,RBC Capital,Sector Perform,Outperform,down
2013-03-15,Keefe Bruyette & Woods,Underperform,Market Perform,down
2013-03-18,Evercore Partners,Underweight,Equal-Weight,down
2013-04-14,Goldman Sachs,Sell,,main
2013-06-05,Nomura,Reduce,,init
2013-10-02,Barclays,Underweight,Equal-Weight,down
2013-10-07,Raymond James,Market Perform,Strong Buy,down
2013-12-02,Goldman Sachs,Neutral,Sell,up
2013-12-12,Nomura,Reduce,,main
2014-02-12,Citigroup,Neutral,,init
2014-03-21,William Blair,Outperform,Underperform,up
2014-04-07,Citigroup,Neutral,,main
2014-05-20,Citigroup,Hold,,main
2014-06-16,Deutsche Bank,Hold,Sell,up
2014-07-15,Evercore Partners,Equal-weight,Underweight,up
2014-08-01,Keefe Bruyette & Woods,Market Perform,Underperform,up
2014-08-14,Citigroup,Buy,Neutral,up
2014-08-14,Keefe Bruyette & Woods,Market Perform,,main
2014-09-02,Goldman Sachs,Buy,Neutral,up
2014-10-08,Citigroup,Buy,,main
2014-12-09,Keefe Bruyette & Woods,Market Perform,,main
2014-12-09,JP Morgan,Neutral,,init
2014-12-22,Keefe Bruyette & Woods,Market Perform,,main
2015-01-07,Janney Capital,Buy,Neutral,up
2015-01-16,Keefe Bruyette & Woods,Underperform,,main
2015-02-18,Citigroup,Buy,,main
2015-03-24,Goldman Sachs,Neutral,Buy,down
2015-04-01,Credit Suisse,Neutral,,init
2015-04-16,Keefe Bruyette & Woods,Underperform,,main
2015-04-30,UBS,Buy,Neutral,up
2015-05-21,Deutsche Bank,Hold,,main
2015-06-22,Raymond James,Outperform,Market Perform,up
2015-07-15,Citigroup,Buy,,main
2015-07-20,Deutsche Bank,Sell,Hold,down
2015-09-16,JMP Securities,Market Outperform,,init
2015-09-21,Sterne Agee CRT,Neutral,,init
2015-10-19,Keefe Bruyette & Woods,Underperform,,main
2015-11-06,Credit Suisse,Underperform,Neutral,down
2015-11-16,Goldman Sachs,Sell,Neutral,down
2015-12-01,Citigroup,Neutral,Buy,down
2016-01-04,Deutsche Bank,Sell,,main
2016-01-19,Bernstein,Market Perform,Outperform,down
2016-03-16,Credit Suisse,Underperform,,main
2016-03-17,Goldman Sachs,Sell,,main
2016-04-08,Citigroup,Neutral,,main
2016-06-02,Citigroup,Sell,Neutral,down
2016-09-16,Keefe Bruyette & Woods,Market Perform,Underperform,up
2016-10-14,Citigroup,Neutral,Sell,up
2016-10-14,Citigroup,Neutral,Sell,up
2017-01-05,Morgan Stanley,Equal-Weight,Underweight,up
2017-01-10,Goldman Sachs,Neutral,Sell,up
2017-03-20,Bank of America,Buy,Neutral,up
2017-03-21,Sandler O'Neill,Buy,Hold,up
2017-04-10,Keefe Bruyette & Woods,Outperform,Market Perform,up
2017-05-18,Deutsche Bank,Hold,Sell,up
2017-06-30,Barclays,Underweight,,main
2017-07-13,Citigroup,Neutral,,main
2017-07-13,Raymond James,Strong Buy,Outperform,up
2017-08-11,Barclays,Underweight,,main
2017-08-17,Citigroup,Neutral,,main
2017-09-18,Credit Suisse,Underperform,,main
2017-09-19,UBS,Buy,,main
2017-09-20,Credit Suisse,Neutral,Underperform,up
2017-10-16,Barclays,Underweight,,main
2017-10-18,Citigroup,Neutral,,main
2017-10-18,Morgan Stanley,Equal-Weight,,main
2017-12-04,Goldman Sachs,Buy,,init
2018-01-25,MKM Partners,Buy,,main
2018-01-25,UBS,Buy,Buy,main
2018-04-18,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-05-17,Buckingham,Underperform,Underperform,main
2018-05-17,Keefe Bruyette & Woods,Market Perform,Outperform,down
2018-05-21,Deutsche Bank,Hold,Hold,main
2018-07-12,Citigroup,Neutral,Neutral,main
2018-07-16,B. Riley FBR,Neutral,Neutral,main
2018-07-18,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-07,Credit Suisse,Outperform,,init
2018-08-07,B. Riley FBR,Neutral,Neutral,main
2018-08-16,Citigroup,Neutral,Neutral,main
2018-09-14,Citigroup,Neutral,Neutral,main
2018-10-08,B. Riley FBR,Neutral,Neutral,main
2018-10-12,Citigroup,Neutral,Neutral,main
2018-10-17,Raymond James,Strong Buy,Strong Buy,main
2018-11-07,Morgan Stanley,Overweight,Equal-Weight,up
2018-11-12,Barclays,Underweight,Underweight,main
2018-11-19,Buckingham,Neutral,Underperform,up
2018-12-11,B. Riley FBR,Buy,Neutral,up
2019-01-09,Barclays,Overweight,Underweight,up
2019-02-14,Citigroup,Neutral,Neutral,main
2019-03-07,Credit Suisse,Outperform,Outperform,main
2019-04-01,Barclays,Overweight,Overweight,main
2019-04-17,Credit Suisse,Outperform,Outperform,main
2019-05-17,UBS,Buy,,main
2019-06-13,B. Riley,Buy,,main
2019-07-01,Barclays,Overweight,,main
2019-07-25,Raymond James,Strong Buy,,main
2019-07-29,UBS,Buy,,main
2019-09-12,Buckingham,Neutral,,main
2019-10-17,Evercore ISI Group,In-Line,,init
2019-10-18,Credit Suisse,Outperform,,main
2019-11-18,Goldman Sachs,Neutral,Buy,down
2019-12-06,Buckingham,Neutral,,main
2019-12-16,Morgan Stanley,Equal-Weight,Overweight,down
2020-01-02,Deutsche Bank,Buy,Hold,up
2020-01-30,Deutsche Bank,Buy,,main
2020-02-20,Morgan Stanley,Equal-Weight,,main
2020-02-28,Morgan Stanley,Equal-Weight,,main
2020-03-11,B. Riley FBR,Neutral,Buy,down
2020-03-11,B. Riley,Neutral,Buy,down
2020-03-11,Piper Sandler,Overweight,,main
2020-03-18,Deutsche Bank,Buy,,main
2020-04-01,Wells Fargo,Equal-Weight,,main
2020-04-01,Morgan Stanley,Equal-Weight,,main
2020-04-03,Raymond James,Strong Buy,Outperform,up
2020-04-06,Piper Sandler,Overweight,,main
2020-04-17,Deutsche Bank,Buy,,main
2020-05-18,Morgan Stanley,Overweight,,main
2020-06-11,Piper Sandler,Neutral,Overweight,down
2020-07-21,Raymond James,Strong Buy,,main
2020-08-19,Morgan Stanley,Overweight,,main
2020-08-20,Morgan Stanley,Overweight,,main
2020-08-21,Deutsche Bank,Buy,,main
2020-09-14,Raymond James,Strong Buy,,main
2020-09-22,"Keefe, Bruyette & Woods",Underperform,Market Perform,down
2020-10-15,Morgan Stanley,Equal-Weight,Overweight,down
2020-10-19,Raymond James,Strong Buy,,main
2020-11-17,Barclays,Underweight,,init
2020-11-24,Morgan Stanley,Equal-Weight,,main
2020-12-02,"Keefe, Bruyette & Woods",Market Perform,Underperform,up
2020-12-08,Citigroup,Neutral,Buy,down
2021-01-04,Wells Fargo,Underweight,Equal-Weight,down
2021-01-08,Goldman Sachs,Sell,Neutral,down
2021-01-12,Morgan Stanley,Equal-Weight,,main
2021-02-01,Deutsche Bank,Buy,,main
2021-02-18,Morgan Stanley,Equal-Weight,,main
2021-03-18,Morgan Stanley,Equal-Weight,,main
2021-03-19,Edward Jones,Buy,Hold,up
2021-04-19,Raymond James,Outperform,Strong Buy,down
2021-06-07,Morgan Stanley,Underweight,Equal-Weight,down
2021-06-21,Citigroup,Neutral,,main
2021-07-16,Raymond James,Outperform,,main
2021-07-16,Barclays,Underweight,,main
2021-08-17,Evercore ISI Group,In-Line,,main
2021-08-17,Wolfe Research,Underperform,,init
2021-11-18,Barclays,Underweight,,main
2021-11-19,Jefferies,Underperform,,init
2021-11-23,Goldman Sachs,Buy,,init
2021-12-16,Barclays,Underweight,,main
2021-12-16,Raymond James,Outperform,,main
2022-01-06,Evercore ISI Group,Outperform,In-Line,up
2022-01-14,Barclays,Underweight,,main
2022-01-18,Raymond James,Outperform,,main
2022-01-27,Raymond James,Outperform,,main
2022-02-09,Edward Jones,Hold,Buy,down
2022-02-14,UBS,Neutral,Buy,down
2022-03-02,Goldman Sachs,Neutral,Buy,down
2022-03-17,Barclays,Underweight,,main
2022-03-18,Raymond James,Outperform,,main
2022-04-12,Wells Fargo,Underweight,,main
2022-04-18,Piper Sandler,Underweight,Neutral,down
2022-04-28,Credit Suisse,Neutral,,init
