,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2509845000.0,1728694000.0,1339576000.0,1347540000.0
Minority Interest,,,,
Net Income,1946320000.0,1406839000.0,1016700000.0,1022023000.0
Selling General Administrative,1208698000.0,1001142000.0,1044337000.0,1012023000.0
Gross Profit,3783112000.0,2786016000.0,2411374000.0,2455866000.0
Ebit,2564966000.0,1775020000.0,1354702000.0,1437397000.0
Operating Income,2564966000.0,1775020000.0,1354702000.0,1437397000.0
Other Operating Expenses,9448000.0,9854000.0,12335000.0,6446000.0
Interest Expense,-502000.0,-4248000.0,-584000.0,-618000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,563525000.0,321855000.0,322876000.0,325517000.0
Total Revenue,13926882000.0,11036082000.0,10212957000.0,10188331000.0
Total Operating Expenses,11361916000.0,9261062000.0,8858255000.0,8750934000.0
Cost Of Revenue,10143770000.0,8250066000.0,7801583000.0,7732465000.0
Total Other Income Expense Net,-55121000.0,-46326000.0,-15126000.0,-89857000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1946320000.0,1406839000.0,1016700000.0,1022023000.0
Net Income Applicable To Common Shares,1929985000.0,1394385000.0,1006329000.0,1010831000.0
