,2022-01-02,2021-01-03,2019-12-29,2018-12-30
Research Development,274969000.0,205389000.0,189336000.0,193998000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1279886000.0,906364000.0,237142000.0,257683000.0
Minority Interest,,,,
Net Income,943157000.0,727887000.0,227558000.0,237927000.0
Selling General Administrative,1105035000.0,929654000.0,832781000.0,808774000.0
Gross Profit,2890369000.0,2120607000.0,1417645000.0,1340939000.0
Ebit,1510365000.0,985564000.0,395528000.0,338167000.0
Operating Income,1510365000.0,985564000.0,395528000.0,338167000.0
Other Operating Expenses,,,,
Interest Expense,-78728000.0,-49212000.0,-63627000.0,-66976000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,336603000.0,178266000.0,9389000.0,20208000.0
Total Revenue,5067169000.0,3782745000.0,2883673000.0,2777996000.0
Total Operating Expenses,3556804000.0,2797181000.0,2488145000.0,2439829000.0
Cost Of Revenue,2176800000.0,1662138000.0,1466028000.0,1437057000.0
Total Other Income Expense Net,-230479000.0,-79200000.0,-158386000.0,-80484000.0
Discontinued Operations,-126000.0,-211000.0,-195000.0,452000.0
Net Income From Continuing Ops,943283000.0,728098000.0,227753000.0,237475000.0
Net Income Applicable To Common Shares,943157000.0,727887000.0,227558000.0,237927000.0
