,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,12381000000.0,10969000000.0,10021000000.0,10731000000.0
Minority Interest,1898000000.0,1936000000.0,1978000000.0,1720000000.0
Net Income,9109000000.0,8056000000.0,7185000000.0,7911000000.0
Selling General Administrative,8203000000.0,7332000000.0,8168000000.0,7449000000.0
Gross Profit,21375000000.0,19125000000.0,19292000000.0,18867000000.0
Ebit,13076000000.0,11720000000.0,11058000000.0,11336000000.0
Operating Income,13076000000.0,11720000000.0,11058000000.0,11336000000.0
Other Operating Expenses,,,,
Interest Expense,-737000000.0,-728000000.0,-796000000.0,-855000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,2671000000.0,2377000000.0,2293000000.0,2445000000.0
Total Revenue,31405000000.0,28694000000.0,29805000000.0,29625000000.0
Total Operating Expenses,18329000000.0,16974000000.0,18747000000.0,18289000000.0
Cost Of Revenue,10030000000.0,9569000000.0,10513000000.0,10758000000.0
Total Other Income Expense Net,-695000000.0,-751000000.0,-1037000000.0,-605000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,9710000000.0,8592000000.0,7728000000.0,8286000000.0
Net Income Applicable To Common Shares,9083000000.0,8036000000.0,7168000000.0,7895000000.0
