,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,439000000.0,379000000.0,432000000.0,441000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,1815000000.0,1362000000.0,1661000000.0,1693000000.0
Minority Interest,125000000.0,126000000.0,119000000.0,102000000.0
Net Income,1439000000.0,1059000000.0,1243000000.0,1341000000.0
Selling General Administrative,3735000000.0,3414000000.0,3621000000.0,3567000000.0
Gross Profit,6557000000.0,6091000000.0,6527000000.0,6373000000.0
Ebit,1770000000.0,1655000000.0,1822000000.0,1691000000.0
Operating Income,1770000000.0,1655000000.0,1822000000.0,1691000000.0
Other Operating Expenses,52000000.0,134000000.0,141000000.0,177000000.0
Interest Expense,-121000000.0,-138000000.0,-132000000.0,-118000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,374000000.0,291000000.0,392000000.0,353000000.0
Total Revenue,16802000000.0,13834000000.0,15146000000.0,15374000000.0
Total Operating Expenses,15032000000.0,12179000000.0,13324000000.0,13683000000.0
Cost Of Revenue,10245000000.0,7743000000.0,8619000000.0,9001000000.0
Total Other Income Expense Net,45000000.0,-293000000.0,-161000000.0,2000000.0
Discontinued Operations,19000000.0,3000000.0,3000000.0,18000000.0
Net Income From Continuing Ops,1441000000.0,1071000000.0,1269000000.0,1340000000.0
Net Income Applicable To Common Shares,1439000000.0,1059000000.0,1243000000.0,1341000000.0
