,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,521000000.0,954000000.0,919000000.0,2285000000.0
Minority Interest,,,,
Net Income,-1480000000.0,1469000000.0,1746000000.0,1827000000.0
Selling General Administrative,-21000000.0,2000000.0,-8000000.0,-257000000.0
Gross Profit,2750000000.0,2796000000.0,2661000000.0,4258000000.0
Ebit,1482000000.0,1592000000.0,1534000000.0,3109000000.0
Operating Income,1482000000.0,1592000000.0,1534000000.0,3109000000.0
Other Operating Expenses,207000000.0,180000000.0,186000000.0,312000000.0
Interest Expense,-918000000.0,-634000000.0,-621000000.0,-963000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,503000000.0,314000000.0,183000000.0,458000000.0
Total Revenue,5783000000.0,5474000000.0,5602000000.0,7785000000.0
Total Operating Expenses,4301000000.0,3882000000.0,4068000000.0,4676000000.0
Cost Of Revenue,3033000000.0,2678000000.0,2941000000.0,3527000000.0
Total Other Income Expense Net,-961000000.0,-638000000.0,-615000000.0,-824000000.0
Discontinued Operations,-1498000000.0,829000000.0,1010000000.0,1010000000.0
Net Income From Continuing Ops,18000000.0,640000000.0,736000000.0,1827000000.0
Net Income Applicable To Common Shares,-1480000000.0,1468000000.0,1745000000.0,1825000000.0
