,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,9468000000.0,-227000000.0,5185000000.0,4910000000.0
Minority Interest,732000000.0,785000000.0,604000000.0,414000000.0
Net Income,7724000000.0,-374000000.0,4186000000.0,4074000000.0
Selling General Administrative,13581000000.0,13906000000.0,13389000000.0,11948000000.0
Gross Profit,23960000000.0,13648000000.0,18501000000.0,16783000000.0
Ebit,10379000000.0,-258000000.0,5112000000.0,4835000000.0
Operating Income,10379000000.0,-258000000.0,5112000000.0,4835000000.0
Other Operating Expenses,,,,
Interest Expense,,,-1540000000.0,-1423000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1674000000.0,-81000000.0,947000000.0,822000000.0
Total Revenue,70871000000.0,57091000000.0,64807000000.0,62992000000.0
Total Operating Expenses,60492000000.0,57349000000.0,59695000000.0,58157000000.0
Cost Of Revenue,46911000000.0,43443000000.0,46306000000.0,46209000000.0
Total Other Income Expense Net,-911000000.0,31000000.0,-1467000000.0,-1348000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7794000000.0,-146000000.0,4238000000.0,4088000000.0
Net Income Applicable To Common Shares,7609000000.0,-395000000.0,4140000000.0,4026000000.0
