Date,Firm,To Grade,From Grade,Action
2012-05-03,Sterne Agee,Buy,,main
2012-05-04,UBS,Buy,,main
2012-05-04,Barclays,Equal-Weight,,down
2012-05-10,Evercore Partners,Overweight,,up
2012-05-15,Argus Research,Hold,,down
2012-07-02,Barclays,Equal-Weight,,main
2012-07-10,JP Morgan,Overweight,,main
2012-07-17,Raymond James,Strong Buy,Outperform,up
2012-07-18,UBS,Neutral,,init
2012-08-10,UBS,Neutral,,main
2012-10-01,Barclays,Equal-Weight,,main
2013-01-08,Deutsche Bank,Buy,,init
2013-01-10,Citigroup,Buy,,init
2013-01-16,Macquarie,Neutral,Outperform,down
2013-04-03,JP Morgan,Overweight,,main
2013-05-13,Bank of America,Neutral,,init
2013-05-15,Argus,Buy,Hold,up
2013-05-29,Credit Suisse,Outperform,,main
2013-06-12,RBC Capital,Outperform,Top Pick,down
2013-07-18,Deutsche Bank,Buy,,main
2013-09-04,Barclays,Overweight,Equal-Weight,up
2013-09-20,Goldman Sachs,Buy,,main
2013-11-07,Sterne Agee,Buy,,main
2013-11-15,Deutsche Bank,Hold,Buy,down
2014-01-03,Janney Capital,Neutral,Buy,down
2014-03-07,Bank of America,Buy,Neutral,up
2014-04-14,Raymond James,Strong Buy,,main
2014-05-08,Credit Suisse,Outperform,,main
2014-05-09,Raymond James,Strong Buy,,main
2014-05-16,Deutsche Bank,Buy,Hold,up
2014-06-06,Raymond James,Strong Buy,,main
2014-07-01,JP Morgan,Overweight,,main
2014-07-07,Drexel Hamilton,Buy,,init
2014-07-09,Citigroup,Buy,,main
2014-07-14,Deutsche Bank,Buy,,main
2014-07-17,Sterne Agee,Buy,,main
2014-08-08,Scotiabank,Sector Perform,,main
2014-10-13,Sterne Agee,Buy,,main
2014-11-06,Credit Suisse,Outperform,,main
2014-11-11,Citigroup,Buy,,main
2014-12-03,Atlantic Equities,Overweight,,init
2014-12-15,Keefe Bruyette & Woods,Outperform,,main
2015-01-27,Keefe Bruyette & Woods,Outperform,,main
