,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1959639000.0,1361227000.0,1525651000.0,1717223000.0
Minority Interest,88361000.0,18032000.0,16756000.0,25250000.0
Net Income,1953263000.0,1357213000.0,1520534000.0,1711031000.0
Selling General Administrative,101254000.0,79973000.0,62146000.0,103612000.0
Gross Profit,2578319000.0,2116803000.0,2111503000.0,2068235000.0
Ebit,1763637000.0,1483573000.0,1536439000.0,1479877000.0
Operating Income,1763637000.0,1483573000.0,1536439000.0,1479877000.0
Other Operating Expenses,,,,1100000.0
Interest Expense,-90774000.0,-56283000.0,-45641000.0,-32542000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,0.0,0.0,0.0,0.0
Total Revenue,3498917000.0,2984265000.0,2924655000.0,2825318000.0
Total Operating Expenses,1735280000.0,1500692000.0,1388216000.0,1345441000.0
Cost Of Revenue,920598000.0,867462000.0,813152000.0,757083000.0
Total Other Income Expense Net,196002000.0,-122346000.0,-10788000.0,237346000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1959639000.0,1361227000.0,1525651000.0,1717223000.0
Net Income Applicable To Common Shares,1732444000.0,1098335000.0,1272767000.0,1488900000.0
