Date,Firm,To Grade,From Grade,Action
2012-02-27,Jefferies,Hold,,main
2012-03-01,Imperial Capital,In-Line,,main
2012-03-15,Credit Suisse,Outperform,,up
2012-05-04,ISI Group,Hold,,main
2012-05-07,UBS,Neutral,,main
2012-05-08,Jefferies,Hold,,main
2012-05-11,JP Morgan,Overweight,,main
2012-07-24,Deutsche Bank,Hold,,main
2012-08-03,ISI Group,Hold,,main
2012-08-06,Imperial Capital,In-Line,,main
2012-08-14,UBS,Neutral,,main
2012-08-15,JP Morgan,Overweight,,main
2012-08-17,Barclays,Overweight,,main
2012-09-20,KeyBanc,Underweight,,main
2012-09-26,Raymond James,Market Perform,Outperform,down
2012-10-22,Barclays,Overweight,,main
2012-10-23,Cantor Fitzgerald,Hold,Sell,up
2012-11-01,BMO Capital,Market Perform,Underperform,up
2012-11-12,Imperial Capital,In-Line,,main
2012-11-12,Jefferies,Hold,,main
2012-11-21,JP Morgan,Overweight,,main
2012-12-04,Cantor Fitzgerald,Buy,Hold,up
2013-01-09,Deutsche Bank,Hold,,main
2013-02-15,UBS,Sell,Neutral,down
2013-02-15,UBS,Sell,Neutral,down
2013-02-25,Imperial Capital,In-Line,,main
2013-02-26,Goldman Sachs,Neutral,,main
2013-03-05,JP Morgan,Overweight,,main
2013-06-17,Raymond James,Outperform,Market Perform,up
2013-07-11,SunTrust Robinson Humphrey,Neutral,,init
2013-07-12,SunTrust Robinson Humphrey,Neutral,,init
2013-07-12,SunTrust Robinson Humphrey,Neutral,,init
2013-08-13,UBS,Neutral,Sell,up
2013-08-19,RBC Capital,Sector Perform,Underperform,up
2013-09-05,Jefferies,Hold,,main
2013-09-10,Macquarie,Neutral,,init
2013-10-22,Raymond James,Market Perform,Outperform,down
2013-12-17,BMO Capital,Underperform,Market Perform,down
2014-01-09,Jefferies,Buy,Hold,up
2014-01-14,Morgan Stanley,Equal-Weight,Underweight,up
2014-01-28,Barclays,Overweight,,main
2014-04-09,Citigroup,Neutral,,main
2014-04-22,Barclays,Overweight,,main
2014-05-08,Jefferies,Hold,Buy,down
2014-07-21,Barclays,Overweight,,main
2014-09-16,Citigroup,Neutral,,main
2014-10-14,Jefferies,Hold,,main
2014-11-17,Jefferies,Hold,,main
2014-12-12,Citigroup,Neutral,,main
2015-01-06,Goldman Sachs,Neutral,Sell,up
2015-01-22,Barclays,Overweight,,main
2015-03-24,Citigroup,Neutral,,main
2015-04-20,Barclays,Overweight,,main
2015-05-06,BMO Capital,Market Perform,Underperform,up
2015-05-12,Goldman Sachs,Buy,Neutral,up
2015-06-19,Cantor Fitzgerald,Hold,Buy,down
2015-08-07,Barclays,Overweight,,main
2015-09-04,Raymond James,Outperform,Market Perform,up
2015-09-08,Evercore ISI Group,Hold,,main
2015-10-20,Barclays,Overweight,,main
2015-11-10,BB&T Capital,Underweight,,init
2015-11-11,Barclays,Overweight,,main
2015-12-07,KeyBanc,Sector Weight,Underweight,up
2015-12-17,JP Morgan,Neutral,Overweight,down
2016-01-04,Goldman Sachs,Neutral,Buy,down
2016-01-07,Baird,Outperform,Neutral,up
2016-01-26,Barclays,Equal-Weight,Overweight,down
2016-02-22,Barclays,Equal-Weight,,main
2016-03-21,Evercore ISI Group,Sell,Hold,down
2016-04-25,Goldman Sachs,Sell,Neutral,down
2016-05-13,Citigroup,Neutral,,main
2016-06-23,FBR Capital,Market Perform,,init
2016-07-15,KeyBanc,Underweight,Sector Weight,down
2016-07-19,Barclays,Equal-Weight,,main
2016-08-10,Jefferies,Hold,,main
2016-08-11,Bank of America,Neutral,Buy,down
2016-08-22,Evercore ISI Group,Hold,Sell,up
2016-09-12,KeyBanc,Underweight,,main
2016-10-31,Goldman Sachs,Neutral,Sell,up
2017-01-05,Baird,Neutral,Outperform,down
2017-07-18,Barclays,Equal-Weight,Equal-Weight,main
2017-07-20,Bank of America,Neutral,,main
2017-08-01,Argus,Buy,,main
2017-08-18,Jefferies,Hold,,main
2017-09-12,BMO Capital,Underperform,,init
2017-11-28,Baird,Underperform,Neutral,down
2017-12-04,Bank of America,Underperform,Neutral,down
2018-02-27,Bank of America,Neutral,Underperform,up
2018-03-01,Citigroup,Neutral,Neutral,main
2018-03-05,Evercore ISI Group,In-Line,Underperform,up
2018-03-15,KeyBanc,Underweight,Underweight,main
2018-06-14,Morgan Stanley,Underweight,Underweight,main
2018-07-12,Citigroup,Neutral,Neutral,main
2018-07-17,Barclays,Equal-Weight,Equal-Weight,main
2018-08-22,Goldman Sachs,Sell,Neutral,down
2018-10-05,Citigroup,Neutral,Neutral,main
2018-12-13,Jefferies,Underperform,Hold,down
2018-12-18,Evercore ISI Group,In-Line,Underperform,up
2019-03-26,Barclays,Underweight,Equal-Weight,down
2019-04-09,Jefferies,Hold,Underperform,up
2019-06-11,KeyBanc,Sector Weight,Underweight,up
2019-07-19,Bank of America,Buy,Neutral,up
2019-08-20,Stifel,Buy,,init
2019-08-21,Baird,Neutral,Underperform,up
2019-08-27,SunTrust Robinson Humphrey,Hold,,main
2019-09-11,Citigroup,Neutral,,main
2019-09-16,Morgan Stanley,Equal-Weight,Underweight,up
2019-10-01,Evercore ISI Group,Underperform,In-Line,down
2019-10-30,Stifel Nicolaus,Buy,,main
2019-11-19,Bank of America,Neutral,Buy,down
2019-12-02,Argus Research,Buy,,main
2019-12-10,Wells Fargo,Underweight,Equal-Weight,down
2019-12-17,Morgan Stanley,Equal-Weight,,main
2020-02-26,Stifel,Buy,,main
2020-02-28,CFRA,Sell,Hold,down
2020-03-06,SunTrust Robinson Humphrey,Hold,,main
2020-03-24,B of A Securities,Buy,Neutral,up
2020-03-24,Stifel,Buy,,main
