,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2746000000.0,-261000000.0,1008000000.0,1251000000.0
Minority Interest,,,,
Net Income,2118000000.0,-200000000.0,773000000.0,978000000.0
Selling General Administrative,292000000.0,244000000.0,324000000.0,381000000.0
Gross Profit,9392000000.0,2469000000.0,4031000000.0,4315000000.0
Ebit,4212000000.0,140000000.0,1852000000.0,1756000000.0
Operating Income,4212000000.0,140000000.0,1852000000.0,1756000000.0
Other Operating Expenses,2339000000.0,399000000.0,86000000.0,530000000.0
Interest Expense,-161000000.0,-129000000.0,-121000000.0,-126000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,628000000.0,-61000000.0,235000000.0,276000000.0
Total Revenue,17870000000.0,7026000000.0,9676000000.0,9384000000.0
Total Operating Expenses,13658000000.0,6886000000.0,7824000000.0,7628000000.0
Cost Of Revenue,8478000000.0,4557000000.0,5645000000.0,5069000000.0
Total Other Income Expense Net,-1466000000.0,-401000000.0,-844000000.0,-505000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,2118000000.0,-200000000.0,773000000.0,975000000.0
Net Income Applicable To Common Shares,2113000000.0,-200000000.0,770000000.0,973000000.0
