Date,Firm,To Grade,From Grade,Action
2012-02-08,Sterne Agee,,,main
2012-02-09,Oppenheimer,Outperform,,main
2012-05-03,UBS,Neutral,,main
2012-05-07,Canaccord Genuity,Buy,,main
2012-05-18,Deutsche Bank,Hold,,main
2012-06-05,Guggenheim,Neutral,,main
2012-07-02,Barclays,Overweight,Equal-Weight,up
2012-07-16,Deutsche Bank,Hold,,main
2012-07-20,JP Morgan,Overweight,,main
2012-08-02,Barclays,Overweight,,main
2012-08-02,Deutsche Bank,Hold,,main
2012-08-16,Imperial Capital,Outperform,,init
2012-08-17,Canaccord Genuity,Buy,,main
2012-10-05,Barclays,Overweight,,main
2012-10-09,Wells Fargo,Outperform,,init
2012-10-15,Goldman Sachs,Buy,,main
2012-11-02,Canaccord Genuity,Hold,Buy,down
2012-11-08,Barclays,Equal-Weight,Overweight,down
2012-11-21,Citigroup,Buy,,init
2013-01-30,Societe Generale,Sell,Hold,down
2013-01-31,Societe Generale,Sell,Hold,down
2013-02-13,Credit Suisse,Outperform,,init
2013-02-14,Oppenheimer,Outperform,,main
2013-02-15,Citigroup,Buy,,main
2013-02-15,Canaccord Genuity,Sell,Buy,down
2013-02-20,Oracle Investment Research,Hold,Buy,down
2013-03-13,Canaccord Genuity,Sell,,main
2013-03-26,SunTrust Robinson Humphrey,Buy,,init
2013-03-27,Topeka,Buy,,init
2013-04-12,Societe Generale,Sell,,main
2013-04-16,Canaccord Genuity,Hold,Sell,up
2013-05-07,ISI Group,Strong Buy,,init
2013-06-17,Bank of America,Buy,,main
2013-07-24,KLR Group,Reduce,,init
2013-08-20,Canaccord Genuity,Buy,,init
2013-09-13,Wunderlich,Buy,,init
2013-09-13,Wunderlich,Buy,,init
2013-09-16,Topeka,Hold,Buy,down
2013-09-17,Scotia Howard Weil,Sector Perform,Sector Outperform,down
2013-10-03,Wunderlich,Buy,,main
2013-10-22,Wunderlich,Buy,,main
2013-11-05,JP Morgan,Overweight,,main
2013-11-05,Bank of America,Buy,,main
2013-11-06,Sterne Agee,Neutral,Buy,down
2013-11-29,Topeka,Hold,,main
2013-12-03,Global Hunter Securities,Buy,Neutral,up
2013-12-09,Deutsche Bank,Hold,,main
2014-01-17,Stifel Nicolaus,Buy,Hold,up
2014-03-18,Deutsche Bank,Hold,,main
2014-03-20,BMO Capital,Market Perform,,init
2014-04-01,Deutsche Bank,Hold,,main
2014-04-14,Scotia Howard Weil,Sector Outperform,Sector Perform,up
2014-05-07,Stifel Nicolaus,Buy,,main
2014-05-08,Raymond James,Outperform,,main
2014-05-08,Barclays,Equal-Weight,,main
2014-05-12,KLR Group,Hold,Reduce,up
2014-06-11,UBS,Buy,,main
2014-06-17,Seaport Global,Accumulate,Buy,down
2014-06-24,GMP Securities,Buy,,init
2014-07-01,Canaccord Genuity,Buy,,init
2014-07-18,Deutsche Bank,Hold,,main
2014-08-06,KLR Group,Accumulate,Hold,up
2014-08-06,Societe Generale,Hold,Sell,up
2014-08-11,Barclays,Equal-Weight,,main
2014-08-27,Canaccord Genuity,Hold,Buy,down
2014-10-09,KeyBanc,Buy,,main
2014-10-09,Barclays,Equal-Weight,,main
2014-10-10,Imperial Capital,Outperform,,init
2014-10-20,Morgan Stanley,Equal-Weight,,main
2014-10-21,Guggenheim,Buy,Neutral,up
2014-10-22,Wunderlich,Buy,,main
2014-11-06,Citigroup,Buy,,main
2014-11-06,Wunderlich,Buy,,main
2014-11-07,Barclays,Equal-Weight,,main
2014-11-10,Deutsche Bank,Hold,,main
2014-12-02,Seaport Global,Neutral,,down
2014-12-08,Citigroup,Buy,,main
2014-12-09,Imperial Capital,Outperform,,main
2014-12-11,Deutsche Bank,Hold,,main
2014-12-16,Scotia Howard Weil,Sector Outperform,,main
2014-12-16,Barclays,Equal-Weight,,main
2015-01-06,Deutsche Bank,Hold,,main
2015-01-08,Citigroup,Neutral,Buy,down
2015-01-14,Barclays,Equal-Weight,,main
2015-02-11,Barclays,Underweight,Equal-Weight,down
2015-02-12,Wunderlich,Buy,,main
2015-02-12,SunTrust Robinson Humphrey,Neutral,Buy,down
2015-02-17,Wolfe Research,,,init
2015-02-20,Jefferies,Buy,,main
2015-03-18,Capital One Financial,Equal-Weight,Overweight,down
2015-04-15,SunTrust Robinson Humphrey,Neutral,,main
2015-04-21,Societe Generale,Sell,Hold,down
2015-04-22,Nomura,Buy,,init
2015-04-24,Jefferies,Buy,,main
2015-04-28,Cowen & Co.,Outperform,,init
2015-05-07,SunTrust Robinson Humphrey,Buy,Neutral,up
2015-05-08,Barclays,Underweight,,main
2015-06-01,Deutsche Bank,Hold,,main
2015-06-01,Topeka,Buy,Hold,up
2015-06-02,Evercore ISI Group,Buy,,init
2015-06-24,SunTrust Robinson Humphrey,Buy,,main
2015-07-13,Morgan Stanley,Overweight,Equal-Weight,up
2015-07-13,Barclays,Underweight,,main
2015-07-14,KeyBanc,Overweight,,main
2015-08-04,Imperial Capital,Outperform,,main
2015-08-07,Barclays,Underweight,,main
2015-08-07,Credit Suisse,Outperform,,main
2015-08-07,KLR Group,Buy,Accumulate,up
2015-08-10,CLSA,Outperform,Underperform,up
2015-08-13,Seaport Global,Accumulate,Neutral,up
2015-09-08,Barclays,Underperform,,main
2015-09-14,Citigroup,Neutral,,main
2015-10-20,Canaccord Genuity,Neutral,,init
2015-10-30,Susquehanna,Positive,,init
2015-11-04,Societe Generale,Hold,Sell,up
2015-11-04,Macquarie,Neutral,,main
2015-12-01,Raymond James,Strong Buy,Outperform,up
2015-12-09,JP Morgan,Overweight,,init
2016-01-07,Deutsche Bank,Buy,Hold,up
2016-01-07,Citigroup,Buy,Neutral,up
2016-01-08,Baird,Outperform,,main
2016-01-11,Barclays,Equal-Weight,Underweight,up
2016-01-12,BMO Capital,Outperform,,up
2016-01-21,Nomura,Buy,,main
2016-01-26,Susquehanna,Positive,,main
2016-01-28,Barclays,Equal-Weight,,main
2016-01-29,Barclays,Equal-Weight,,main
2016-02-02,JP Morgan,Overweight,,main
2016-02-11,Stifel Nicolaus,Buy,,main
2016-03-15,Barclays,Equal-Weight,,main
2016-03-21,KLR Group,Accumulate,Buy,down
2016-03-29,Deutsche Bank,Buy,,main
2016-04-05,Drexel Hamilton,Buy,,init
2016-04-07,Citigroup,Buy,,main
2016-04-26,UBS,Buy,,main
2016-04-26,iBERIA Capital Partners,Outperform,,main
2016-05-02,Nomura,Buy,,main
2016-06-22,CLSA,Buy,,init
2016-07-14,Barclays,Equal-Weight,,main
2016-07-18,KLR Group,Buy,Accumulate,up
2016-07-28,UBS,Buy,,main
2016-07-28,Citigroup,Buy,,main
2016-08-02,Barclays,Overweight,Equal-Weight,up
2016-08-04,Societe Generale,Sell,Hold,down
2016-08-17,Bernstein,Outperform,,init
2016-08-22,KeyBanc,Overweight,,main
2016-08-24,Credit Suisse,Outperform,,main
2016-08-29,Williams Capital,Buy,,init
2016-09-01,Barclays,Overweight,,main
2016-09-08,Mitsubishi UFJ,Neutral,,init
2016-10-06,Mizuho Securities,Neutral,,init
2017-01-12,Societe Generale,Hold,Sell,up
2017-02-08,Societe Generale,Buy,Hold,up
2017-02-14,Mitsubishi UFJ,Overweight,Neutral,up
2017-03-21,Mizuho,Buy,Neutral,up
2017-03-31,Seaport Global,Neutral,Buy,down
2017-07-21,Citigroup,Buy,,main
2017-08-02,Wells Fargo,Market Perform,Outperform,down
2017-08-04,Barclays,Overweight,,main
2017-08-15,Citigroup,Buy,,main
2017-08-22,Imperial Capital,Outperform,,init
2017-09-18,PiperJaffray,Overweight,,main
2017-10-11,Barclays,Overweight,,main
2017-10-18,Morgan Stanley,Overweight,,main
2017-11-03,Jefferies,Buy,,main
2017-11-03,Bernstein,Outperform,,main
2017-11-20,Barclays,Overweight,,main
2017-12-12,Credit Suisse,Outperform,,init
2017-12-19,Seaport Global,Buy,Neutral,up
2018-01-17,Susquehanna,Neutral,Positive,down
2018-01-24,Morgan Stanley,Overweight,Overweight,main
2018-02-06,B. Riley FBR,Buy,,init
2018-02-06,SunTrust Robinson Humphrey,Hold,Buy,down
2018-02-07,Baird,Outperform,Outperform,main
2018-02-08,Imperial Capital,Outperform,Outperform,main
2018-02-13,Citigroup,Buy,Buy,main
2018-03-07,UBS,Buy,,init
2018-04-16,SunTrust Robinson Humphrey,Buy,Hold,up
2018-04-18,KLR Group,Hold,Buy,down
2018-04-23,KeyBanc,Overweight,Overweight,main
2018-05-02,Credit Suisse,Outperform,Outperform,main
2018-05-24,KeyBanc,Overweight,Overweight,main
2018-06-01,JP Morgan,Overweight,Overweight,main
2018-07-05,TD Securities,Buy,,init
2018-07-12,Morgan Stanley,Overweight,,init
2018-07-24,KLR Group,Buy,Hold,up
2018-07-24,Mizuho,Buy,,init
