,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,3038000000.0,2642000000.0,2085000000.0,1831000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,4099000000.0,5065000000.0,2998000000.0,2376000000.0
Minority Interest,,44000000.0,44000000.0,44000000.0
Net Income,4169000000.0,4202000000.0,2459000000.0,2057000000.0
Selling General Administrative,4559000000.0,3931000000.0,3112000000.0,2855000000.0
Gross Profit,11921000000.0,10001000000.0,7987000000.0,7189000000.0
Ebit,4315000000.0,3428000000.0,2797000000.0,2219000000.0
Operating Income,4315000000.0,3428000000.0,2797000000.0,2219000000.0
Other Operating Expenses,9000000.0,9000000.0,-7000000.0,284000000.0
Interest Expense,-232000000.0,-209000000.0,-115000000.0,-77000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-70000000.0,863000000.0,539000000.0,319000000.0
Total Revenue,25371000000.0,21454000000.0,17772000000.0,15451000000.0
Total Operating Expenses,21056000000.0,18026000000.0,14975000000.0,13232000000.0
Cost Of Revenue,13450000000.0,11453000000.0,9785000000.0,8262000000.0
Total Other Income Expense Net,-216000000.0,1637000000.0,201000000.0,157000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4169000000.0,4202000000.0,2459000000.0,2057000000.0
Net Income Applicable To Common Shares,4169000000.0,4202000000.0,2459000000.0,2057000000.0
