,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,-5305699000.0,-5790130000.0,1940200000.0,1836692000.0
Minority Interest,,,569981000.0,542020000.0
Net Income,-5260499000.0,-5797462000.0,1878887000.0,1811042000.0
Selling General Administrative,1412197000.0,1268924000.0,1663347000.0,1303144000.0
Gross Profit,-1083258000.0,-486999000.0,4991990000.0,4231642000.0
Ebit,-3788333000.0,-3035177000.0,2082701000.0,1894801000.0
Operating Income,-3788333000.0,-3035177000.0,2082701000.0,1894801000.0
Other Operating Expenses,,,,
Interest Expense,-1291753000.0,-844238000.0,-408513000.0,-333672000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-45200000.0,-15000000.0,32600000.0,20900000.0
Total Revenue,1532133000.0,2208805000.0,10950661000.0,9493849000.0
Total Operating Expenses,5320466000.0,5243982000.0,8867960000.0,7599048000.0
Cost Of Revenue,2615391000.0,2695804000.0,5958671000.0,5262207000.0
Total Other Income Expense Net,-1517366000.0,-2754953000.0,-142501000.0,-58109000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-5260499000.0,-5775130000.0,1907600000.0,1815792000.0
Net Income Applicable To Common Shares,-5260499000.0,-5797462000.0,1878887000.0,1811042000.0
