,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1545621000.0,585349000.0,1098987000.0,-242182000.0
Minority Interest,,,,
Net Income,1379083000.0,514151000.0,1009461000.0,89041000.0
Selling General Administrative,67827000.0,41118000.0,32966000.0,30672000.0
Gross Profit,1647910000.0,662603000.0,1169106000.0,-182879000.0
Ebit,1580083000.0,621485000.0,1136140000.0,-213551000.0
Operating Income,1580083000.0,621485000.0,1136140000.0,-213551000.0
Other Operating Expenses,,,,
Interest Expense,-70149000.0,-36323000.0,-31693000.0,-31031000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,166538000.0,71198000.0,89526000.0,-331223000.0
Total Revenue,11830576000.0,9597927000.0,8236629000.0,7359095000.0
Total Operating Expenses,10250493000.0,8976442000.0,7100489000.0,7572646000.0
Cost Of Revenue,10182666000.0,8935324000.0,7067523000.0,7541974000.0
Total Other Income Expense Net,-34462000.0,-36136000.0,-37153000.0,-28631000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1379083000.0,514151000.0,1009461000.0,89041000.0
Net Income Applicable To Common Shares,1360887000.0,507824000.0,998182000.0,88239000.0
