,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,3215000000.0,1314000000.0,1985000000.0,1955000000.0
Minority Interest,,,,
Net Income,2521000000.0,1094000000.0,1582000000.0,1759000000.0
Selling General Administrative,2973000000.0,2824000000.0,2654000000.0,2638000000.0
Gross Profit,6960000000.0,4955000000.0,5473000000.0,5517000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,3259000000.0,1403000000.0,2030000000.0,2019000000.0
Other Operating Expenses,728000000.0,728000000.0,789000000.0,860000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,694000000.0,220000000.0,403000000.0,387000000.0
Total Revenue,6960000000.0,4955000000.0,5473000000.0,5517000000.0
Total Operating Expenses,3701000000.0,3552000000.0,3443000000.0,3498000000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-44000000.0,-89000000.0,-45000000.0,-64000000.0
Discontinued Operations,,,,191000000.0
Net Income From Continuing Ops,2521000000.0,1094000000.0,1582000000.0,1568000000.0
Net Income Applicable To Common Shares,2400000000.0,991000000.0,1503000000.0,1695000000.0
