,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1791000000.0,1052000000.0,1375000000.0,1311000000.0
Minority Interest,58000000.0,62000000.0,62000000.0,84000000.0
Net Income,1403000000.0,818000000.0,1034000000.0,857000000.0
Selling General Administrative,7038000000.0,5915000000.0,5584000000.0,5252000000.0
Gross Profit,9254000000.0,7263000000.0,7226000000.0,6792000000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,1904000000.0,1125000000.0,1365000000.0,1297000000.0
Other Operating Expenses,312000000.0,223000000.0,277000000.0,243000000.0
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,388000000.0,234000000.0,341000000.0,454000000.0
Total Revenue,9813000000.0,7757000000.0,7693000000.0,7236000000.0
Total Operating Expenses,7909000000.0,6632000000.0,6328000000.0,5939000000.0
Cost Of Revenue,559000000.0,494000000.0,467000000.0,444000000.0
Total Other Income Expense Net,-113000000.0,-73000000.0,10000000.0,14000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1403000000.0,818000000.0,1034000000.0,857000000.0
Net Income Applicable To Common Shares,1401000000.0,817000000.0,1032000000.0,856000000.0
