,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2258540000.0,106297000.0,2164288000.0,2050876000.0
Minority Interest,,,,
Net Income,1722589000.0,85382000.0,1660928000.0,1587457000.0
Selling General Administrative,3755768000.0,3104656000.0,3170687000.0,2786350000.0
Gross Profit,6088636000.0,3534366000.0,5316869000.0,4827064000.0
Ebit,2332868000.0,429710000.0,2146182000.0,2040714000.0
Operating Income,2332868000.0,429710000.0,2146182000.0,2040714000.0
Other Operating Expenses,,,,
Interest Expense,-75161000.0,-88064000.0,-9740000.0,-16407000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,535951000.0,20915000.0,503360000.0,463419000.0
Total Revenue,18916244000.0,12531565000.0,16039073000.0,14983541000.0
Total Operating Expenses,16583376000.0,12101855000.0,13892891000.0,12942827000.0
Cost Of Revenue,12827608000.0,8997199000.0,10722204000.0,10156477000.0
Total Other Income Expense Net,-74328000.0,-323413000.0,18106000.0,10162000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1722589000.0,85382000.0,1660928000.0,1587457000.0
Net Income Applicable To Common Shares,1722589000.0,85382000.0,1660928000.0,1587457000.0
