,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,2732000000.0,2582000000.0,2452000000.0,1878000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,4931000000.0,-2353000000.0,4152000000.0,2504000000.0
Minority Interest,1631000000.0,1721000000.0,2552000000.0,2273000000.0
Net Income,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
Selling General Administrative,3154000000.0,4496000000.0,2980000000.0,2093000000.0
Gross Profit,12525000000.0,8620000000.0,10932000000.0,7236000000.0
Ebit,6817000000.0,1770000000.0,5735000000.0,3648000000.0
Operating Income,6817000000.0,1770000000.0,5735000000.0,3648000000.0
Other Operating Expenses,-178000000.0,-228000000.0,-235000000.0,-383000000.0
Interest Expense,-1358000000.0,-1408000000.0,-1711000000.0,-1182000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,786000000.0,575000000.0,421000000.0,1098000000.0
Total Revenue,64388000000.0,56587000000.0,45349000000.0,34701000000.0
Total Operating Expenses,57571000000.0,54817000000.0,39614000000.0,31053000000.0
Cost Of Revenue,51863000000.0,47967000000.0,34417000000.0,27465000000.0
Total Other Income Expense Net,-1886000000.0,-4123000000.0,-1583000000.0,-1144000000.0
Discontinued Operations,-33000000.0,-410000000.0,2027000000.0,4053000000.0
Net Income From Continuing Ops,4145000000.0,-2928000000.0,3731000000.0,1406000000.0
Net Income Applicable To Common Shares,3864000000.0,-3519000000.0,5537000000.0,5269000000.0
