,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,252564000.0,-17749000.0,186889000.0,51684000.0
Minority Interest,17250000.0,15194000.0,16052000.0,16052000.0
Net Income,237624000.0,24104000.0,146991000.0,47451000.0
Selling General Administrative,219122000.0,193366000.0,192717000.0,142526000.0
Gross Profit,1735729000.0,1590028000.0,1506386000.0,1385939000.0
Ebit,813657000.0,672702000.0,613437000.0,569311000.0
Operating Income,813657000.0,672702000.0,613437000.0,569311000.0
Other Operating Expenses,2789000.0,1990000.0,3154000.0,1989000.0
Interest Expense,-419593000.0,-412802000.0,-415695000.0,-399146000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,14940000.0,-41796000.0,39605000.0,4233000.0
Total Revenue,2308834000.0,2083138000.0,2014645000.0,1865695000.0
Total Operating Expenses,1495177000.0,1410436000.0,1401208000.0,1296384000.0
Cost Of Revenue,573105000.0,493110000.0,508259000.0,479756000.0
Total Other Income Expense Net,-561093000.0,-690451000.0,-426548000.0,-517627000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,237624000.0,24047000.0,147284000.0,47451000.0
Net Income Applicable To Common Shares,237624000.0,24104000.0,146991000.0,47451000.0
