,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1247774000.0,732192000.0,821403000.0,700740000.0
Minority Interest,,,,
Net Income,918441000.0,528359000.0,586486000.0,506434000.0
Selling General Administrative,679057000.0,600312000.0,516837000.0,461022000.0
Gross Profit,1951374000.0,1346246000.0,1350672000.0,1187018000.0
Ebit,0.0,0.0,0.0,0.0
Operating Income,1272317000.0,745934000.0,833835000.0,725996000.0
Other Operating Expenses,,,,
Interest Expense,,,,
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,329333000.0,203833000.0,234917000.0,194306000.0
Total Revenue,1951374000.0,1346246000.0,1350672000.0,1187018000.0
Total Operating Expenses,679057000.0,600312000.0,516837000.0,461022000.0
Cost Of Revenue,0.0,0.0,0.0,0.0
Total Other Income Expense Net,-24543000.0,-13742000.0,-12432000.0,-25256000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,918441000.0,528359000.0,586486000.0,506434000.0
Net Income Applicable To Common Shares,879482000.0,526634000.0,584573000.0,505520000.0
