Date,Firm,To Grade,From Grade,Action
2012-04-25,JP Morgan,Overweight,,main
2012-05-22,Guggenheim,Buy,,up
2012-07-25,Barclays,Equal-Weight,,main
2012-09-18,Sterne Agee,Buy,,main
2012-10-08,JP Morgan,Overweight,,main
2012-10-23,Jefferies,Buy,,main
2012-10-23,JP Morgan,Overweight,,main
2012-10-24,Barclays,Equal-Weight,,main
2012-10-24,BMO Capital,Market Perform,,main
2012-10-24,Jefferies,Buy,,main
2012-11-20,Credit Suisse,Outperform,,init
2013-01-04,Deutsche Bank,Buy,,main
2013-01-10,JP Morgan,Overweight,,main
2013-01-23,Barclays,Equal-Weight,,main
2013-04-24,Jefferies,Buy,,main
2013-05-23,Maxim Group,Buy,,init
2013-06-06,Morgan Stanley,Overweight,,init
2013-06-14,BMO Capital,Outperform,Market Perform,up
2013-06-28,Deutsche Bank,Buy,,main
2013-07-09,Oppenheimer,Outperform,Perform,up
2013-07-09,JP Morgan,Overweight,,main
2013-07-24,Jefferies,Buy,,main
2013-11-27,Sterne Agee,Neutral,Buy,down
2013-12-04,Guggenheim,Neutral,Buy,down
2014-01-21,Keefe Bruyette & Woods,Outperform,,up
2014-01-21,Guggenheim,Buy,Neutral,up
2014-01-22,Keefe Bruyette & Woods,Outperform,Market Perform,up
2014-03-19,Morgan Stanley,Overweight,,main
2014-03-20,Oppenheimer,Perform,Outperform,down
2014-03-31,SunTrust Robinson Humphrey,Buy,,init
2014-04-23,Barclays,Equal-Weight,,main
2014-07-14,Sterne Agee,Buy,Neutral,up
2014-08-01,Raymond James,Strong Buy,Outperform,up
2015-01-23,JP Morgan,Overweight,,main
2015-04-22,Barclays,Equal-Weight,,main
2015-04-22,Deutsche Bank,Buy,,main
2015-04-22,Keefe Bruyette & Woods,Outperform,,main
2015-04-22,Jefferies,Buy,,main
2015-06-16,Barclays,Equal-Weight,,main
2015-06-30,Deutsche Bank,Buy,,main
2015-07-09,PiperJaffray,Overweight,,init
2015-07-22,Keefe Bruyette & Woods,Outperform,,main
2015-07-22,Maxim Group,Buy,,main
2015-07-22,Raymond James,Strong Buy,Outperform,up
2015-09-30,RBC Capital,Outperform,,init
2015-10-09,Barclays,Equal-Weight,,main
2015-10-21,Jefferies,Buy,,main
2015-10-21,Keefe Bruyette & Woods,Outperform,,main
2015-12-17,Raymond James,Outperform,Strong Buy,down
2016-02-24,Deutsche Bank,Buy,,main
2016-04-01,Barclays,Equal-Weight,,main
2016-05-31,PiperJaffray,Neutral,Overweight,down
2016-06-21,Raymond James,Strong Buy,Outperform,up
2016-07-07,JP Morgan,Overweight,,main
2016-08-01,Morgan Stanley,Overweight,,main
2016-09-09,Jefferies,Buy,,main
2016-09-28,Barclays,Overweight,Equal-Weight,up
2016-10-21,BMO Capital,Market Perform,Outperform,down
2016-11-18,Hovde Group,Underperform,Market Perform,down
2016-12-05,Barclays,Overweight,,main
2017-04-06,Raymond James,Outperform,Strong Buy,down
2017-06-28,Wedbush,Outperform,,init
2017-07-20,Deutsche Bank,Buy,,main
2017-09-15,Morgan Stanley,Overweight,,main
2017-09-20,Bank of America,Buy,,main
2017-09-20,Wedbush,Neutral,Outperform,down
2017-10-11,Barclays,Overweight,,main
2017-10-20,BMO Capital,Outperform,Market Perform,up
2017-10-20,Barclays,Overweight,,main
2017-11-06,Morgan Stanley,Equal-Weight,Overweight,down
2017-11-20,JMP Securities,Market Outperform,,init
2018-03-22,UBS,Neutral,,init
2018-04-20,BMO Capital,Outperform,Outperform,main
2018-04-20,Wells Fargo,Outperform,Market Perform,up
2018-04-24,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-06-13,PiperJaffray,Overweight,Neutral,up
2018-07-20,Wedbush,Neutral,Neutral,main
2018-07-20,BMO Capital,Market Perform,Outperform,down
2018-07-20,Barclays,Overweight,Overweight,main
2018-07-20,JP Morgan,Neutral,Overweight,down
2018-07-24,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-07-31,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-08-09,Hovde Group,Outperform,Market Perform,up
2018-09-18,Morgan Stanley,Equal-Weight,Equal-Weight,main
2018-10-19,BMO Capital,Market Perform,Market Perform,main
2018-10-19,Raymond James,Outperform,Outperform,main
2018-11-05,UBS,Buy,Neutral,up
2018-12-21,Wedbush,Outperform,Neutral,up
2019-03-15,Wells Fargo,Outperform,Outperform,main
2019-04-04,JP Morgan,Overweight,Neutral,up
2019-04-18,Raymond James,Outperform,Outperform,main
2019-05-15,Wedbush,Neutral,Outperform,down
2019-05-30,BMO Capital,Market Perform,,main
2019-07-01,Morgan Stanley,Overweight,Equal-Weight,up
2019-07-08,Raymond James,Strong Buy,Outperform,up
2019-08-05,Morgan Stanley,Overweight,,main
2019-10-02,Wells Fargo,Outperform,,main
2019-10-22,Morgan Stanley,Overweight,,main
2019-12-12,Morgan Stanley,Overweight,,main
2019-12-12,Stephens & Co.,Overweight,,main
2020-01-22,BMO Capital,Market Perform,,main
2020-02-19,DA Davidson,Neutral,,init
2020-03-05,Morgan Stanley,Overweight,,main
2020-03-09,Morgan Stanley,Overweight,,main
2020-03-10,Raymond James,Strong Buy,,main
2020-03-17,Morgan Stanley,Overweight,,main
2020-03-30,Wells Fargo,Overweight,,main
2020-04-06,UBS,Buy,,main
2020-04-07,Morgan Stanley,Overweight,,main
2020-04-14,Compass Point,Buy,,init
2020-04-24,Wells Fargo,Overweight,,main
2020-04-24,Wedbush,Neutral,,main
2020-04-24,B of A Securities,Buy,,main
2020-05-06,Morgan Stanley,Overweight,,main
2020-05-06,BMO Capital,Market Perform,,main
2020-05-13,Compass Point,Buy,,main
2020-05-15,UBS,Buy,,main
2020-05-28,Wedbush,Outperform,Neutral,up
2020-06-08,Morgan Stanley,Overweight,,main
2020-07-07,Wells Fargo,Overweight,,main
2020-07-22,Wells Fargo,Overweight,,main
2020-10-08,Piper Sandler,Overweight,,init
2020-10-09,Credit Suisse,Outperform,,init
2020-10-21,Raymond James,Strong Buy,,main
2020-11-03,Morgan Stanley,Overweight,,main
2020-11-11,Credit Suisse,Outperform,,main
2020-11-27,Raymond James,Strong Buy,,main
2020-12-07,Morgan Stanley,Overweight,,main
2020-12-16,Raymond James,Strong Buy,,main
2020-12-17,Seaport Global,Buy,,init
2021-01-07,Morgan Stanley,Overweight,,main
2021-01-07,Raymond James,Strong Buy,,main
2021-01-22,Raymond James,Strong Buy,,main
2021-01-25,Deutsche Bank,Buy,,main
2021-01-26,Credit Suisse,Outperform,,main
2021-01-27,Morgan Stanley,Overweight,,main
2021-02-02,Morgan Stanley,Overweight,,main
2021-02-05,Raymond James,Strong Buy,,main
2021-02-09,JP Morgan,Overweight,,main
2021-02-16,Raymond James,Strong Buy,,main
2021-02-24,Morgan Stanley,Overweight,,main
2021-03-03,UBS,Buy,,main
2021-03-08,Credit Suisse,Outperform,,main
2021-03-12,Raymond James,Strong Buy,,reit
2021-03-18,Morgan Stanley,Overweight,,main
2021-04-22,Wedbush,Outperform,,main
2021-04-22,Raymond James,Strong Buy,,main
2021-04-27,Deutsche Bank,Buy,,main
2021-05-04,Morgan Stanley,Overweight,,main
2021-06-11,JP Morgan,Overweight,,main
2021-06-17,Wedbush,Outperform,,main
2021-06-17,Morgan Stanley,Overweight,,main
2021-06-17,Stephens & Co.,Overweight,,main
2021-06-25,Piper Sandler,Overweight,,main
2021-07-09,Credit Suisse,Outperform,,main
2021-07-22,Credit Suisse,Outperform,,main
2021-08-02,Morgan Stanley,Overweight,,main
2021-08-11,Raymond James,Strong Buy,,main
2021-10-07,Wells Fargo,Overweight,,main
2021-10-20,Wedbush,Outperform,,main
2021-10-20,Raymond James,Strong Buy,,main
2021-10-20,Maxim Group,Buy,,main
2021-10-27,Morgan Stanley,Overweight,,main
2021-11-15,Raymond James,Strong Buy,,main
2021-12-06,Morgan Stanley,Overweight,,main
2022-01-04,Wells Fargo,Overweight,,main
2022-01-19,Raymond James,Strong Buy,,main
2022-01-19,Stephens & Co.,Overweight,,main
2022-01-19,Janney Montgomery Scott,Buy,Neutral,up
2022-01-19,Goldman Sachs,Buy,,main
2022-01-19,JP Morgan,Overweight,,main
2022-01-19,Wells Fargo,Overweight,,main
2022-01-20,Morgan Stanley,Overweight,,main
2022-02-10,Raymond James,Strong Buy,,main
2022-03-14,Raymond James,Strong Buy,,main
2022-03-28,Morgan Stanley,Overweight,,main
2022-04-20,JP Morgan,Overweight,,main
2022-04-20,Wells Fargo,Overweight,,main
2022-04-20,Raymond James,Strong Buy,,main
