,2021-10-03,2020-09-27,2019-09-29,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,5356900000.0,1164400000.0,4466200000.0,5780000000.0
Minority Interest,6700000.0,5700000.0,1200000.0,6300000.0
Net Income,4199300000.0,928300000.0,3599200000.0,4518300000.0
Selling General Administrative,1932600000.0,1679600000.0,1824100000.0,1704600000.0
Gross Profit,8435400000.0,5141100000.0,7488100000.0,7316600000.0
Ebit,4701600000.0,1599900000.0,3915700000.0,3810100000.0
Operating Income,4701600000.0,1599900000.0,3915700000.0,3810100000.0
Other Operating Expenses,359500000.0,430300000.0,371000000.0,554900000.0
Interest Expense,-469800000.0,-437000000.0,-331000000.0,-170300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1156600000.0,239700000.0,871600000.0,1262000000.0
Total Revenue,29060600000.0,23518000000.0,26508600000.0,24719500000.0
Total Operating Expenses,24359000000.0,21918100000.0,22592900000.0,20909400000.0
Cost Of Revenue,20625200000.0,18376900000.0,19020500000.0,17402900000.0
Total Other Income Expense Net,655300000.0,-435500000.0,550500000.0,1969900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,4200300000.0,924700000.0,3594600000.0,4518000000.0
Net Income Applicable To Common Shares,4199300000.0,928300000.0,3599200000.0,4518300000.0
