,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,219633000.0,163123000.0,121351000.0,82245000.0
Effect Of Accounting Charges,,,,
Income Before Tax,187224000.0,163666000.0,178603000.0,137123000.0
Minority Interest,,,,8318000.0
Net Income,169170000.0,140322000.0,146549000.0,128833000.0
Selling General Administrative,201196000.0,159104000.0,137345000.0,97571000.0
Gross Profit,629318000.0,461359000.0,479338000.0,319236000.0
Ebit,208489000.0,139132000.0,220642000.0,139420000.0
Operating Income,208489000.0,139132000.0,220642000.0,139420000.0
Other Operating Expenses,,,,
Interest Expense,-6376000.0,-5330000.0,-4805000.0,-2536000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,18054000.0,23344000.0,33646000.0,9077000.0
Total Revenue,1963865000.0,1459271000.0,1425660000.0,937237000.0
Total Operating Expenses,1755376000.0,1320139000.0,1205018000.0,797817000.0
Cost Of Revenue,1334547000.0,997912000.0,946322000.0,618001000.0
Total Other Income Expense Net,-21265000.0,24534000.0,-42039000.0,-2297000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,169170000.0,140322000.0,144957000.0,128046000.0
Net Income Applicable To Common Shares,169170000.0,140322000.0,146549000.0,128833000.0
