Date,Firm,To Grade,From Grade,Action
2015-04-17,Avondale Partners,Market Outperform,,init
2015-04-20,Goldman Sachs,Buy,,init
2015-04-20,Needham,Buy,,init
2015-04-20,Deutsche Bank,Buy,,init
2015-04-21,Canaccord Genuity,Buy,,init
2015-05-08,Deutsche Bank,Buy,,main
2015-05-28,Canaccord Genuity,Buy,,main
2015-08-13,Avondale Partners,Market Outperform,Market Perform,up
2015-11-02,Roth Capital,Buy,,main
2015-11-05,Deutsche Bank,Buy,,main
2015-11-05,Avondale Partners,Outperform,Market Perform,up
2015-11-16,Avondale Partners,Market Outperform,,main
2015-12-18,Northland Securities,Outperform,,init
2015-12-18,FBR Capital,Outperform,,init
2016-01-05,Goldman Sachs,Buy,,main
2016-02-04,Deutsche Bank,Buy,,main
2016-02-23,JP Morgan,Overweight,,init
2016-04-04,Barclays,Overweight,,init
2016-05-10,Goldman Sachs,Neutral,Buy,down
2016-08-10,Deutsche Bank,Buy,,main
2016-08-10,Barclays,Overweight,,main
2016-09-08,JMP Securities,Market Outperform,,init
2016-10-07,Goldman Sachs,Sell,Neutral,down
2016-10-14,Axiom Capial,Sell,,init
2016-11-10,Roth Capital,Neutral,Buy,down
2016-11-10,FBR Capital,Market Perform,Outperform,down
2016-11-10,JMP Securities,Market Perform,Market Outperform,down
2016-11-14,Craig-Hallum,Sell,,init
2016-11-22,Barclays,Overweight,,main
2017-03-03,JMP Securities,Market Outperform,Market Perform,up
2017-07-12,JMP Securities,Market Outperform,,main
2017-07-18,Oppenheimer,Outperform,Perform,up
2017-07-27,Roth Capital,Buy,Neutral,up
2017-08-03,Barclays,Overweight,,main
2017-08-03,Canaccord Genuity,Buy,,main
2017-08-03,Deutsche Bank,Buy,,main
2017-11-01,JP Morgan,Overweight,,main
2017-11-06,Canaccord Genuity,Buy,,main
2017-11-09,B. Riley FBR,Buy,Neutral,up
2017-11-09,Canaccord Genuity,Buy,,main
2017-11-27,Deutsche Bank,Hold,Buy,down
2018-01-11,Vertical Group,Sell,,init
2018-02-15,JP Morgan,Overweight,Overweight,main
2018-02-15,Deutsche Bank,Hold,Hold,main
2018-02-15,Vertical Research,Buy,Hold,up
2018-02-26,Canaccord Genuity,Buy,Buy,main
2018-03-16,UBS,Buy,,init
2018-03-19,JP Morgan,Overweight,Overweight,main
2018-03-27,Deutsche Bank,Hold,Hold,main
2018-05-02,Vertical Group,Sell,Buy,down
2018-05-08,B. Riley FBR,Buy,Buy,main
2018-05-10,JMP Securities,Market Perform,Market Outperform,down
2018-11-02,JP Morgan,Overweight,Overweight,main
2019-01-17,JMP Securities,Market Underperform,Market Perform,down
2019-03-25,Credit Suisse,Neutral,,init
2019-05-07,JMP Securities,Market Outperform,Market Underperform,up
2019-06-18,Goldman Sachs,Neutral,Sell,up
2019-08-13,JP Morgan,Overweight,,main
2019-08-22,UBS,Neutral,Buy,down
2019-09-20,Credit Suisse,Neutral,,main
2019-11-04,Canaccord Genuity,Buy,,main
2019-11-07,JP Morgan,Overweight,,main
2019-12-02,Needham,Buy,,init
2020-01-10,Cascend,Buy,,reit
2020-01-27,Northland Securities,Market Perform,Outperform,down
2020-02-20,Cascend,Buy,,main
2020-02-20,JP Morgan,Overweight,,main
2020-02-20,Needham,Buy,,main
2020-02-20,JMP Securities,Market Outperform,,main
2020-02-21,Credit Suisse,Neutral,,main
2020-02-21,UBS,Neutral,,main
2020-03-25,Barclays,Equal-Weight,,init
2020-03-27,JP Morgan,Overweight,,main
2020-04-02,Needham,Hold,Buy,down
2020-04-07,UBS,Neutral,,main
2020-04-17,JMP Securities,Market Outperform,,main
2020-05-07,Canaccord Genuity,Hold,Buy,down
2020-06-25,Goldman Sachs,Sell,Neutral,down
2020-08-03,JMP Securities,Market Perform,Market Outperform,down
2020-08-04,Canaccord Genuity,Hold,,main
2020-09-23,B. Riley FBR,Buy,,init
2020-10-16,Goldman Sachs,Neutral,Sell,up
2020-10-26,Credit Suisse,Neutral,,main
2020-10-27,UBS,Sell,Neutral,down
2020-11-03,Northland Capital Markets,Underperform,Market Perform,down
2020-11-03,Oppenheimer,Perform,Outperform,down
2020-12-11,Piper Sandler,Overweight,,init
2021-01-07,Susquehanna,Neutral,Positive,down
2021-01-12,Truist Securities,Buy,,init
2021-01-20,Credit Suisse,Neutral,,main
2021-01-21,Morgan Stanley,Overweight,,init
2021-02-04,Roth Capital,Buy,,main
2021-02-09,B. Riley FBR,Buy,,main
2021-02-17,Susquehanna,Neutral,,main
2021-02-17,Roth Capital,Buy,,main
2021-02-17,Northland Capital Markets,Underperform,,main
2021-02-17,B. Riley FBR,Buy,,main
2021-02-18,Canaccord Genuity,Hold,,main
