,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,716200000.0,626200000.0,370300000.0,457800000.0
Minority Interest,,,,
Net Income,506800000.0,502900000.0,263000000.0,193100000.0
Selling General Administrative,768000000.0,772500000.0,850000000.0,778400000.0
Gross Profit,1680900000.0,1609300000.0,1564800000.0,1502100000.0
Ebit,874100000.0,799300000.0,685900000.0,708000000.0
Operating Income,874100000.0,799300000.0,685900000.0,708000000.0
Other Operating Expenses,,,,
Interest Expense,-174700000.0,-184600000.0,-196000000.0,-193000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,225000000.0,142100000.0,76600000.0,307500000.0
Total Revenue,5533800000.0,4903200000.0,4791100000.0,4732700000.0
Total Operating Expenses,4659700000.0,4103900000.0,4105200000.0,4024700000.0
Cost Of Revenue,3852900000.0,3293900000.0,3226300000.0,3230600000.0
Total Other Income Expense Net,-157900000.0,-173100000.0,-315600000.0,-250200000.0
Discontinued Operations,15600000.0,18800000.0,-30700000.0,42800000.0
Net Income From Continuing Ops,491200000.0,484100000.0,293700000.0,150300000.0
Net Income Applicable To Common Shares,506800000.0,502700000.0,262500000.0,192200000.0
