,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,2248600000.0,2519200000.0,1981800000.0,1359700000.0
Minority Interest,,,,
Net Income,1864400000.0,2030400000.0,1541300000.0,1108700000.0
Selling General Administrative,5576900000.0,5482800000.0,5315300000.0,5054700000.0
Gross Profit,8542700000.0,8682600000.0,8036100000.0,7418600000.0
Ebit,2660300000.0,2849300000.0,2385000000.0,1869500000.0
Operating Income,2660300000.0,2849300000.0,2385000000.0,1869500000.0
Other Operating Expenses,-4000000.0,37100000.0,23000000.0,176300000.0
Interest Expense,-334700000.0,-340400000.0,-349300000.0,-366700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,384200000.0,488800000.0,440500000.0,251000000.0
Total Revenue,19944600000.0,18361700000.0,17900800000.0,17534500000.0
Total Operating Expenses,17284300000.0,15512400000.0,15515800000.0,15665000000.0
Cost Of Revenue,11401900000.0,9679100000.0,9864700000.0,10115900000.0
Total Other Income Expense Net,-411700000.0,-330100000.0,-403200000.0,-509800000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1864400000.0,2030400000.0,1541300000.0,1108700000.0
Net Income Applicable To Common Shares,1864400000.0,2030400000.0,1541300000.0,1108700000.0
