,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,554000000.0,580000000.0,717000000.0,702000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,2374000000.0,-11298000000.0,-10418000000.0,2624000000.0
Minority Interest,282000000.0,418000000.0,416000000.0,424000000.0
Net Income,1881000000.0,-10518000000.0,-10137000000.0,2138000000.0
Selling General Administrative,339000000.0,365000000.0,511000000.0,444000000.0
Gross Profit,3658000000.0,2601000000.0,4197000000.0,4337000000.0
Ebit,2765000000.0,1656000000.0,2969000000.0,3191000000.0
Operating Income,2765000000.0,1656000000.0,2969000000.0,3191000000.0
Other Operating Expenses,,,,
Interest Expense,-539000000.0,-563000000.0,-609000000.0,-575000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,446000000.0,-812000000.0,-311000000.0,447000000.0
Total Revenue,22929000000.0,23601000000.0,32917000000.0,32815000000.0
Total Operating Expenses,20164000000.0,21945000000.0,29948000000.0,29624000000.0
Cost Of Revenue,19271000000.0,21000000000.0,28720000000.0,28478000000.0
Total Other Income Expense Net,-391000000.0,-12954000000.0,-13387000000.0,-567000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1928000000.0,-10486000000.0,-10107000000.0,2177000000.0
Net Income Applicable To Common Shares,1881000000.0,-10518000000.0,-10137000000.0,2138000000.0
