,2021-10-31,2020-10-31,2019-10-31,2018-10-31
Research Development,1504823000.0,1279022000.0,1136932000.0,1084822000.0
Effect Of Accounting Charges,,,,
Income Before Tax,805514000.0,638159000.0,545506000.0,363543000.0
Minority Interest,3806000.0,4963000.0,5863000.0,5863000.0
Net Income,757516000.0,664347000.0,532367000.0,432518000.0
Selling General Administrative,1035479000.0,916540000.0,862108000.0,859538000.0
Gross Profit,3390877000.0,2943043000.0,2667371000.0,2469194000.0
Ebit,768195000.0,656200000.0,567417000.0,399170000.0
Operating Income,768195000.0,656200000.0,567417000.0,399170000.0
Other Operating Expenses,,,,
Interest Expense,-3365000.0,-5140000.0,-11659000.0,-15607000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,49155000.0,-25288000.0,13139000.0,-68975000.0
Total Revenue,4204193000.0,3685281000.0,3360694000.0,3121058000.0
Total Operating Expenses,3435998000.0,3029081000.0,2793277000.0,2721888000.0
Cost Of Revenue,813316000.0,742238000.0,693323000.0,651864000.0
Total Other Income Expense Net,37319000.0,-18041000.0,-21911000.0,-35627000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,756359000.0,663447000.0,532367000.0,432518000.0
Net Income Applicable To Common Shares,757516000.0,664347000.0,532367000.0,432518000.0
