,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1239000000.0,-643900000.0,479900000.0,1359800000.0
Minority Interest,247000000.0,256300000.0,253700000.0,228400000.0
Net Income,1005700000.0,-949000000.0,241700000.0,1116500000.0
Selling General Administrative,2290100000.0,2186700000.0,2478900000.0,2725700000.0
Gross Profit,4053400000.0,3768300000.0,4201200000.0,4184800000.0
Ebit,1545300000.0,1361600000.0,1501100000.0,1459100000.0
Operating Income,1545300000.0,1361600000.0,1501100000.0,1459100000.0
Other Operating Expenses,,,,
Interest Expense,-260300000.0,-274600000.0,-280900000.0,-306200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,230500000.0,301800000.0,233700000.0,225200000.0
Total Revenue,10279700000.0,9654000000.0,10579400000.0,10769600000.0
Total Operating Expenses,8734400000.0,8292400000.0,9078300000.0,9310500000.0
Cost Of Revenue,6226300000.0,5885700000.0,6378200000.0,6584800000.0
Total Other Income Expense Net,-306300000.0,-2005500000.0,-1021200000.0,-99300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1008500000.0,-945700000.0,246200000.0,1134600000.0
Net Income Applicable To Common Shares,1005700000.0,-949000000.0,241700000.0,1116500000.0
