,2021-09-30,2020-09-30,2019-09-30,2018-09-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,715000000.0,740000000.0,1063000000.0,986000000.0
Minority Interest,6000000.0,4000000.0,10000000.0,10000000.0
Net Income,680000000.0,699000000.0,890000000.0,957000000.0
Selling General Administrative,636000000.0,685000000.0,744000000.0,450000000.0
Gross Profit,2549000000.0,2694000000.0,2809000000.0,2184000000.0
Ebit,1776000000.0,1840000000.0,1930000000.0,1662000000.0
Operating Income,1776000000.0,1840000000.0,1930000000.0,1662000000.0
Other Operating Expenses,,,,
Interest Expense,-1059000000.0,-1029000000.0,-859000000.0,-663000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,34000000.0,87000000.0,222000000.0,24000000.0
Total Revenue,4798000000.0,5103000000.0,5223000000.0,3811000000.0
Total Operating Expenses,3022000000.0,3263000000.0,3293000000.0,2149000000.0
Cost Of Revenue,2249000000.0,2409000000.0,2414000000.0,1627000000.0
Total Other Income Expense Net,-1061000000.0,-1100000000.0,-867000000.0,-676000000.0
Discontinued Operations,,47000000.0,51000000.0,-5000000.0
Net Income From Continuing Ops,681000000.0,653000000.0,841000000.0,962000000.0
Net Income Applicable To Common Shares,607000000.0,514000000.0,779000000.0,901000000.0
