,2022-01-02,2021-01-03,2019-12-29,2018-12-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,533800000.0,469700000.0,473700000.0,393900000.0
Minority Interest,,,,
Net Income,445300000.0,401900000.0,402300000.0,333800000.0
Selling General Administrative,1032600000.0,639400000.0,704700000.0,677800000.0
Gross Profit,1843800000.0,1191200000.0,1244100000.0,1115700000.0
Ebit,661900000.0,513000000.0,502900000.0,437900000.0
Operating Income,661900000.0,513000000.0,502900000.0,437900000.0
Other Operating Expenses,,,,
Interest Expense,-60200000.0,-15800000.0,-22000000.0,-29200000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,88500000.0,67800000.0,71400000.0,60100000.0
Total Revenue,4614300000.0,3086200000.0,3163600000.0,2901800000.0
Total Operating Expenses,3952400000.0,2573200000.0,2660700000.0,2463900000.0
Cost Of Revenue,2770500000.0,1895000000.0,1919500000.0,1786100000.0
Total Other Income Expense Net,-128100000.0,-43300000.0,-29200000.0,-44000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,445300000.0,401900000.0,402300000.0,333800000.0
Net Income Applicable To Common Shares,445300000.0,401900000.0,402300000.0,333800000.0
