,2021-06-30,2020-06-30,2019-06-30,2018-06-30
Research Development,70603000.0,65192000.0,62413000.0,55329000.0
Effect Of Accounting Charges,,,,
Income Before Tax,148175000.0,276477000.0,112015000.0,125952000.0
Minority Interest,8263000.0,8263000.0,8263000.0,8263000.0
Net Income,140410000.0,229296000.0,96072000.0,126150000.0
Selling General Administrative,317712000.0,267240000.0,262077000.0,215831000.0
Gross Profit,634415000.0,483194000.0,477230000.0,434598000.0
Ebit,246100000.0,150762000.0,152740000.0,163438000.0
Operating Income,246100000.0,150762000.0,152740000.0,163438000.0
Other Operating Expenses,,,,
Interest Expense,-13952000.0,-19197000.0,-21705000.0,-10188000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,8590000.0,47181000.0,15943000.0,-198000.0
Total Revenue,931032000.0,738691000.0,714006000.0,642993000.0
Total Operating Expenses,684932000.0,587929000.0,561266000.0,479555000.0
Cost Of Revenue,296617000.0,255497000.0,236776000.0,208395000.0
Total Other Income Expense Net,-97925000.0,125715000.0,-40725000.0,-37486000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,139585000.0,229296000.0,96072000.0,126150000.0
Net Income Applicable To Common Shares,140324000.0,229072000.0,95967000.0,126042000.0
