,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,8907000000.0,5546000000.0,4190000000.0,3676000000.0
Minority Interest,,,,
Net Income,6946000000.0,4368000000.0,3281000000.0,2937000000.0
Selling General Administrative,19636000000.0,18546000000.0,16163000000.0,15606000000.0
Gross Profit,31042000000.0,27610000000.0,23248000000.0,22057000000.0
Ebit,9062000000.0,6834000000.0,4728000000.0,4227000000.0
Operating Income,9062000000.0,6834000000.0,4728000000.0,4227000000.0
Other Operating Expenses,,,,
Interest Expense,-421000000.0,-465000000.0,-467000000.0,-461000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1961000000.0,1178000000.0,921000000.0,746000000.0
Total Revenue,106005000000.0,93561000000.0,78112000000.0,75356000000.0
Total Operating Expenses,96943000000.0,86727000000.0,73384000000.0,71129000000.0
Cost Of Revenue,74963000000.0,65951000000.0,54864000000.0,53299000000.0
Total Other Income Expense Net,-155000000.0,-1288000000.0,-538000000.0,-551000000.0
Discontinued Operations,,,12000000.0,7000000.0
Net Income From Continuing Ops,6946000000.0,4368000000.0,3269000000.0,2930000000.0
Net Income Applicable To Common Shares,6946000000.0,4368000000.0,3281000000.0,2937000000.0
