,2021-07-03,2020-06-27,2019-06-29,2018-06-30
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,897300000.0,-624200000.0,766200000.0,596800000.0
Minority Interest,,,,
Net Income,834200000.0,-652100000.0,643400000.0,397500000.0
Selling General Administrative,2978500000.0,2947400000.0,3234000000.0,2971800000.0
Gross Profit,4073800000.0,3357300000.0,4053700000.0,3964900000.0
Ebit,1095300000.0,409900000.0,819700000.0,993100000.0
Operating Income,1095300000.0,409900000.0,819700000.0,993100000.0
Other Operating Expenses,,,,
Interest Expense,-74100000.0,-72100000.0,-66900000.0,-86300000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,63100000.0,27900000.0,122800000.0,199300000.0
Total Revenue,5746300000.0,4961400000.0,6027100000.0,5880000000.0
Total Operating Expenses,4651000000.0,4551500000.0,5207400000.0,4886900000.0
Cost Of Revenue,1672500000.0,1604100000.0,1973400000.0,1915100000.0
Total Other Income Expense Net,-198000000.0,-1034100000.0,-53500000.0,-396300000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,834200000.0,-652100000.0,643400000.0,397500000.0
Net Income Applicable To Common Shares,834200000.0,-652100000.0,643400000.0,397500000.0
