,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,4458000000.0,3237000000.0,3138000000.0,2961000000.0
Minority Interest,,,,
Net Income,3662000000.0,2697000000.0,2622000000.0,2523000000.0
Selling General Administrative,4677000000.0,4509000000.0,4365000000.0,4297000000.0
Gross Profit,9475000000.0,8085000000.0,7847000000.0,7610000000.0
Ebit,4798000000.0,3576000000.0,3482000000.0,3313000000.0
Operating Income,4798000000.0,3576000000.0,3482000000.0,3313000000.0
Other Operating Expenses,,,,
Interest Expense,-340000000.0,-339000000.0,-344000000.0,-352000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,796000000.0,540000000.0,516000000.0,438000000.0
Total Revenue,34816000000.0,31981000000.0,31581000000.0,30282000000.0
Total Operating Expenses,30018000000.0,28405000000.0,28099000000.0,26969000000.0
Cost Of Revenue,25341000000.0,23896000000.0,23734000000.0,22672000000.0
Total Other Income Expense Net,-340000000.0,-339000000.0,-344000000.0,-352000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,3662000000.0,2697000000.0,2622000000.0,2523000000.0
Net Income Applicable To Common Shares,3635000000.0,2678000000.0,2603000000.0,2504000000.0
