,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1246704000.0,873011000.0,682281000.0,553858000.0
Effect Of Accounting Charges,,,,
Income Before Tax,-411113000.0,-50939000.0,390139000.0,423544000.0
Minority Interest,,,,
Net Income,-221409000.0,-1135626000.0,1465659000.0,1205596000.0
Selling General Administrative,1760306000.0,1450292000.0,1273634000.0,1070179000.0
Gross Profit,3279972000.0,2349961000.0,2322288000.0,2077362000.0
Ebit,272962000.0,26658000.0,366373000.0,453325000.0
Operating Income,272962000.0,26658000.0,366373000.0,453325000.0
Other Operating Expenses,,,,
Interest Expense,-51186000.0,-152878000.0,-138180000.0,-132606000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,-189704000.0,1084687000.0,-1075520000.0,-782052000.0
Total Revenue,5077482000.0,3716349000.0,3459329000.0,3042359000.0
Total Operating Expenses,4804520000.0,3689691000.0,3092956000.0,2589034000.0
Cost Of Revenue,1797510000.0,1366388000.0,1137041000.0,964997000.0
Total Other Income Expense Net,-684075000.0,-77597000.0,23766000.0,-29781000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,-221409000.0,-1135626000.0,1465659000.0,1205596000.0
Net Income Applicable To Common Shares,-221409000.0,-1135626000.0,1465659000.0,1205596000.0
