,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,1554000000.0,1530000000.0,1544000000.0,1559000000.0
Effect Of Accounting Charges,,,,
Income Before Tax,8919000000.0,6017000000.0,5728000000.0,6686000000.0
Minority Interest,,,,
Net Income,7769000000.0,5595000000.0,5017000000.0,5580000000.0
Selling General Administrative,1658000000.0,1616000000.0,1650000000.0,1716000000.0
Gross Profit,12376000000.0,9269000000.0,9164000000.0,10277000000.0
Ebit,9022000000.0,5925000000.0,5682000000.0,6684000000.0
Operating Income,9022000000.0,5925000000.0,5682000000.0,6684000000.0
Other Operating Expenses,,,,
Interest Expense,-184000000.0,-190000000.0,-170000000.0,-125000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,1150000000.0,422000000.0,711000000.0,1106000000.0
Total Revenue,18344000000.0,14461000000.0,14383000000.0,15784000000.0
Total Operating Expenses,9322000000.0,8536000000.0,8701000000.0,9100000000.0
Cost Of Revenue,5968000000.0,5192000000.0,5219000000.0,5507000000.0
Total Other Income Expense Net,-103000000.0,92000000.0,46000000.0,2000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,7769000000.0,5595000000.0,5017000000.0,5580000000.0
Net Income Applicable To Common Shares,7736000000.0,5568000000.0,4985000000.0,5537000000.0
