,2022-01-01,2021-01-02,2020-01-04,2018-12-29
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,873000000.0,282000000.0,942000000.0,1384000000.0
Minority Interest,,,,
Net Income,746000000.0,309000000.0,815000000.0,1222000000.0
Selling General Administrative,1062000000.0,962000000.0,1039000000.0,1199000000.0
Gross Profit,1943000000.0,1446000000.0,2053000000.0,2347000000.0
Ebit,881000000.0,484000000.0,1014000000.0,1148000000.0
Operating Income,881000000.0,484000000.0,1014000000.0,1148000000.0
Other Operating Expenses,,,,
Interest Expense,,,,-135000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,126000000.0,-27000000.0,127000000.0,162000000.0
Total Revenue,12382000000.0,11651000000.0,13630000000.0,13972000000.0
Total Operating Expenses,11501000000.0,11167000000.0,12616000000.0,12824000000.0
Cost Of Revenue,10439000000.0,10205000000.0,11577000000.0,11625000000.0
Total Other Income Expense Net,-8000000.0,-202000000.0,-72000000.0,236000000.0
Discontinued Operations,-1000000.0,-1000000.0,-1000000.0,-1000000.0
Net Income From Continuing Ops,747000000.0,309000000.0,815000000.0,1222000000.0
Net Income Applicable To Common Shares,746000000.0,309000000.0,815000000.0,1222000000.0
