,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1293313000.0,1252083000.0,1066337000.0,1034525000.0
Minority Interest,108508000.0,89390000.0,79099000.0,80823000.0
Net Income,991590000.0,943953000.0,814854000.0,779705000.0
Selling General Administrative,118863000.0,116059000.0,107809000.0,106094000.0
Gross Profit,5051039000.0,4657668000.0,4538020000.0,4349088000.0
Ebit,1394316000.0,1359354000.0,1313539000.0,1228572000.0
Operating Income,1394316000.0,1359354000.0,1313539000.0,1228572000.0
Other Operating Expenses,3004647000.0,2671762000.0,2626280000.0,2561377000.0
Interest Expense,-85268000.0,-109089000.0,-162733000.0,-156487000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,305681000.0,299293000.0,238794000.0,236642000.0
Total Revenue,12642117000.0,11558897000.0,11378259000.0,10772278000.0
Total Operating Expenses,11247801000.0,10199543000.0,10064720000.0,9543706000.0
Cost Of Revenue,7591078000.0,6901229000.0,6840239000.0,6423190000.0
Total Other Income Expense Net,-101003000.0,-107271000.0,-247202000.0,-194047000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,987632000.0,952790000.0,827543000.0,797883000.0
Net Income Applicable To Common Shares,989531000.0,940972000.0,812826000.0,778614000.0
