,2022-01-29,2021-01-30,2020-02-01,2019-02-02
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1295829000.0,231085000.0,906150000.0,859141000.0
Minority Interest,,,,
Net Income,985837000.0,175835000.0,705945000.0,658559000.0
Selling General Administrative,2454543000.0,2020722000.0,2126865000.0,1535464000.0
Gross Profit,3757531000.0,2334459000.0,3047213000.0,2409311000.0
Ebit,1293471000.0,298737000.0,901094000.0,854080000.0
Operating Income,1293471000.0,298737000.0,901094000.0,854080000.0
Other Operating Expenses,,,,
Interest Expense,-1663000.0,-5735000.0,-5735000.0,-5735000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,309992000.0,55250000.0,200205000.0,200582000.0
Total Revenue,8630889000.0,6151953000.0,7398068000.0,6716615000.0
Total Operating Expenses,7337418000.0,5853216000.0,6496974000.0,5862535000.0
Cost Of Revenue,4873358000.0,3817494000.0,4350855000.0,4307304000.0
Total Other Income Expense Net,2358000.0,-67652000.0,5056000.0,5061000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,985837000.0,175835000.0,705945000.0,658559000.0
Net Income Applicable To Common Shares,985837000.0,175835000.0,705945000.0,658559000.0
