,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,22310000000.0,20742000000.0,17981000000.0,15944000000.0
Minority Interest,4719000000.0,5048000000.0,4546000000.0,4531000000.0
Net Income,17285000000.0,15403000000.0,13839000000.0,11986000000.0
Selling General Administrative,42579000000.0,41704000000.0,35193000000.0,34074000000.0
Gross Profit,69652000000.0,67000000000.0,57598000000.0,53846000000.0
Ebit,23970000000.0,22405000000.0,19685000000.0,17344000000.0
Operating Income,23970000000.0,22405000000.0,19685000000.0,17344000000.0
Other Operating Expenses,,,,
Interest Expense,-1660000000.0,-1663000000.0,-1704000000.0,-1400000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,4578000000.0,4973000000.0,3742000000.0,3562000000.0
Total Revenue,287597000000.0,257141000000.0,242155000000.0,226247000000.0
Total Operating Expenses,263627000000.0,234736000000.0,222470000000.0,208903000000.0
Cost Of Revenue,217945000000.0,190141000000.0,184557000000.0,172401000000.0
Total Other Income Expense Net,-1660000000.0,-1663000000.0,-1704000000.0,-1400000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,17732000000.0,15769000000.0,14239000000.0,12382000000.0
Net Income Applicable To Common Shares,17285000000.0,15403000000.0,13839000000.0,11986000000.0
