,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,1846000000.0,1139000000.0,1514000000.0,1476000000.0
Minority Interest,,,,
Net Income,1386000000.0,890000000.0,1174000000.0,1096000000.0
Selling General Administrative,1199000000.0,979000000.0,1092000000.0,1038000000.0
Gross Profit,3890000000.0,3232000000.0,3745000000.0,3430000000.0
Ebit,2319000000.0,1896000000.0,2246000000.0,2084000000.0
Operating Income,2319000000.0,1896000000.0,2246000000.0,2084000000.0
Other Operating Expenses,,,,
Interest Expense,-394000000.0,-486000000.0,-648000000.0,-481000000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,460000000.0,249000000.0,340000000.0,380000000.0
Total Revenue,9716000000.0,8530000000.0,9351000000.0,8047000000.0
Total Operating Expenses,7397000000.0,6634000000.0,7105000000.0,5963000000.0
Cost Of Revenue,5826000000.0,5298000000.0,5606000000.0,4617000000.0
Total Other Income Expense Net,-473000000.0,-757000000.0,-732000000.0,-608000000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,1386000000.0,890000000.0,1174000000.0,1096000000.0
Net Income Applicable To Common Shares,1386000000.0,890000000.0,1174000000.0,1096000000.0
