,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,873800000.0,743800000.0,757700000.0,623290000.0
Minority Interest,22700000.0,22700000.0,22700000.0,22700000.0
Net Income,670800000.0,584500000.0,617700000.0,515805000.0
Selling General Administrative,424000000.0,368300000.0,372100000.0,339277000.0
Gross Profit,1373400000.0,1281500000.0,1255900000.0,1100945000.0
Ebit,942500000.0,907600000.0,855100000.0,745363000.0
Operating Income,942500000.0,907600000.0,855100000.0,745363000.0
Other Operating Expenses,6900000.0,5600000.0,28700000.0,16305000.0
Interest Expense,-149300000.0,-136000000.0,-130200000.0,-137977000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,200100000.0,155800000.0,135200000.0,105449000.0
Total Revenue,5552200000.0,4856800000.0,4929100000.0,4382869000.0
Total Operating Expenses,4609700000.0,3949200000.0,4074000000.0,3637506000.0
Cost Of Revenue,4178800000.0,3575300000.0,3673200000.0,3281924000.0
Total Other Income Expense Net,-68700000.0,-163800000.0,-97400000.0,-122073000.0
Discontinued Operations,-3300000.0,-3500000.0,-4800000.0,-2036000.0
Net Income From Continuing Ops,673700000.0,588000000.0,622500000.0,517841000.0
Net Income Applicable To Common Shares,670800000.0,584500000.0,617700000.0,515805000.0
