,2021-12-31,2020-12-31,2019-12-31,2018-12-31
Research Development,,,,
Effect Of Accounting Charges,,,,
Income Before Tax,875400000.0,897500000.0,568400000.0,719700000.0
Minority Interest,26000000.0,26000000.0,26000000.0,26000000.0
Net Income,666200000.0,712700000.0,449900000.0,598700000.0
Selling General Administrative,419900000.0,411700000.0,475500000.0,377200000.0
Gross Profit,1940800000.0,1790700000.0,1630300000.0,1508900000.0
Ebit,1137300000.0,1020900000.0,824900000.0,835600000.0
Operating Income,1137300000.0,1020900000.0,824900000.0,835600000.0
Other Operating Expenses,,,6200000.0,6200000.0
Interest Expense,-127000000.0,-138200000.0,-126800000.0,-129700000.0
Extraordinary Items,,,,
Non Recurring,,,,
Other Items,,,,
Income Tax Expense,209100000.0,184800000.0,118500000.0,121000000.0
Total Revenue,2998600000.0,2784600000.0,2607100000.0,2395100000.0
Total Operating Expenses,1861300000.0,1763700000.0,1782200000.0,1559500000.0
Cost Of Revenue,1057800000.0,993900000.0,976800000.0,886200000.0
Total Other Income Expense Net,-261900000.0,-123400000.0,-256500000.0,-115900000.0
Discontinued Operations,,,,
Net Income From Continuing Ops,666300000.0,712700000.0,449900000.0,598700000.0
Net Income Applicable To Common Shares,666200000.0,712700000.0,449900000.0,598700000.0
